Gene	Chr	Strand	MaxPosition	Fit.max.pos	Fit.start	Fit.end	mu	sigma	k	exon.intron	exon.pos	LogLik	polyA_ID
C1d	chr11	1	17263966	17263977	17263920	17264034	311.998232493821	19.4939532576362	1121.27935731827	no-junctions	NA	-3839.32857264113	C1d:chr11:17263920-17264034:1
Clcn4	chr7	-1	7282497	7282384	7282309	7282573	187.730061875251	63.6067091286815	7467.29084596003	no-junctions	NA	-3347.58991542794	Clcn4:chr7:7282309-7282573:-1
Clcn4	chr7	-1	7284252	7284256	7284049	7287835	304.635511839337	69.2069790331561	1299.46456264765	across-junctions	(7284049,7284273)(7287646,7287835)	-3106.70520521713	Clcn4:chr7:7284049-7287835:-1
Clcn4	chr7	-1	7298191	7298184	7298001	7298367	293.135029647137	61.7434416441705	693.952509881728	no-junctions	NA	-3217.59768046014	Clcn4:chr7:7298001-7298367:-1
Abhd15	chr11	1	77530091	77530067	77529779	77530355	276.367671230282	96.0480651044993	648.920949684056	no-junctions	NA	-3217.32549525673	Abhd15:chr11:77529779-77530355:1
Rpa1	chr11	-1	75300538	75300545	75300335	75300755	307.974204980052	70.3085395487545	2263.19144499561	no-junctions	NA	-3339.97933691965	Rpa1:chr11:75300335-75300755:-1
Txnrd3	chr6	1	89675246	89675252	89675039	89675465	306.455580341893	71.0321652853657	1495.88265469825	no-junctions	NA	-2779.37505892755	Txnrd3:chr6:89675039-89675465:1
Dlg3	chrX	1	100818215	100818216	100818012	100818410	301.318772185264	68.8817753092335	3916.8353702317	no-junctions	NA	-2898.93260066035	Dlg3:chrX:100818012-100818410:1
Dlg3	chrX	1	100817148	100817148	100816959	100817337	300.058504052959	63.7521006451299	202.59153288401	no-junctions	NA	-1785.7507396519	Dlg3:chrX:100816959-100817337:1
Mmp14	chr14	1	54441031	54441032	54440798	54441266	301.518727451605	78.880653041208	522.384469811868	no-junctions	NA	-2106.42042791602	Mmp14:chr14:54440798-54441266:1
Rpl13	chr8	1	123105064	123105048	123103215	123105244	284.03677514783	67.212051008446	395183.93170856	across-junctions	(123103215,123103355)(123103898,123103953)(123105044,123105244)	-5298.85324403113	Rpl13:chr8:123103215-123105244:1
Usp32	chr11	-1	84984652	84984556	84984442	84984778	204.160812825799	74.236465560591	2640.12319497795	no-junctions	NA	-2871.29254550103	Usp32:chr11:84984442-84984778:-1
Icam2	chr11	-1	106377832	106377725	106377656	106377938	193.558077843428	71.6330378975199	666.591028394946	no-junctions	NA	-2029.92399140734	Icam2:chr11:106377656-106377938:-1
Gnb1l	chr16	1	18533265	18533263	18533164	18533362	298.163566262749	33.7645518566933	623.432554797463	no-junctions	NA	-2613.18309656533	Gnb1l:chr16:18533164-18533362:1
Gnb1l	chr16	1	18564376	18564353	18564164	18564542	277.573544694795	63.929922039215	295.761001277215	no-junctions	NA	-1941.8401259782	Gnb1l:chr16:18564164-18564542:1
Luzp1	chr4	1	136549125	136549127	136548914	136549340	302.785799594783	71.7237376479774	1254.69745214709	no-junctions	NA	-2784.24687021337	Luzp1:chr4:136548914-136549340:1
Uxt	chrX	-1	20952269	20952257	20951928	20960001	288.28417309509	48.0934171925709	1833.57497062962	across-junctions	(20951928,20952022)(20952208,20952270)(20959735,20959801)(20959938,20960001)	-3867.51242289259	Uxt:chrX:20951928-20960001:-1
Uxt	chrX	-1	20959378	20959401	20959296	20959506	7130.82726270111	35.3129281022415	2479.18374613302	no-junctions	NA	-42327.383621823	Uxt:chrX:20959296-20959506:-1
S100a6	chr3	1	90614237	90614229	90613747	90614424	292.515576457922	65.5370016317871	8773.3481659024	across-junctions	(90613747,90613903)(90614191,90614424)	-4112.47742873517	S100a6:chr3:90613747-90614424:1
Cfp	chrX	-1	20925694	20925640	20925454	20927369	246.460896535848	69.9885522231728	390.327309714547	across-junctions	(20925454,20925758)(20927281,20927369)	-2036.52480171391	Cfp:chrX:20925454-20927369:-1
Calm1	chr12	1	100207123	100207120	100206922	100207318	297.216395163671	66.7120460401077	86554.3559704938	no-junctions	NA	-5664.25279897712	Calm1:chr12:100206922-100207318:1
Calm1	chr12	1	100206144	100206131	100203635	100206520	287.668416172644	74.7775709377951	39134.617988972	across-junctions	(100203635,100203717)(100205613,100205718)(100206098,100206232)(100206400,100206520)	-5516.45950476717	Calm1:chr12:100203635-100206520:1
Calm1	chr12	1	100209627	100209626	100209416	100209814	299.331092449599	70.6142533263325	22857.910463323	no-junctions	NA	-3673.04143204673	Calm1:chr12:100209416-100209814:1
Gabrg1	chr5	-1	70752026	70752018	70751802	70752234	292.73626293113	72.0169071246085	2162.82634002062	no-junctions	NA	-3314.4056185765	Gabrg1:chr5:70751802-70752234:-1
Sp1	chr15	1	102436185	102436195	102435976	102436404	310.329080773203	73.9495320655347	500.759980538359	no-junctions	NA	-1964.91568035044	Sp1:chr15:102435976-102436404:1
Fndc5	chr4	1	129143113	129143105	129142901	129143309	292.934951366323	68.3025786935221	8727.83321455516	no-junctions	NA	-4382.96118872802	Fndc5:chr4:129142901-129143309:1
Fndc5	chr4	1	129144408	129144398	129144191	129144593	290.151879368338	69.4377725601715	7730.78392041435	no-junctions	NA	-3316.40040891242	Fndc5:chr4:129144191-129144593:1
Col18a1	chr10	-1	77052383	77052279	77052178	77052480	196.417517790984	67.1433284127154	400.443659407721	no-junctions	NA	-2025.98001659	Col18a1:chr10:77052178-77052480:-1
Col18a1	chr10	-1	77053226	77053228	77053024	77053432	302.685040624396	68.9841720989534	315.805902430569	no-junctions	NA	-2297.73491810945	Col18a1:chr10:77053024-77053432:-1
Tulp3	chr6	-1	128321327	128321216	128321161	128321435	189.161967724096	73.017271080181	1069.49159063227	no-junctions	NA	-2343.85018589354	Tulp3:chr6:128321161-128321435:-1
Tulp3	chr6	-1	128331676	128331686	128331635	128331737	310.110392076101	17.6872632639274	350.044087778546	no-junctions	NA	-2748.09843926849	Tulp3:chr6:128331635-128331737:-1
Tubb5	chr17	-1	35834996	35834998	35834800	35835196	302.422405535915	66.0725574724184	38020.3062365727	no-junctions	NA	-5061.82488966641	Tubb5:chr17:35834800-35835196:-1
Tubb5	chr17	-1	35834101	35833996	35833921	35834179	195.011722850928	61.3932401369206	1943.90909717741	no-junctions	NA	-2626.05873695867	Tubb5:chr17:35833921-35834179:-1
Ifrd1	chr12	-1	40203319	40203322	40203115	40203997	303.407618451357	69.4224441580713	3403.91634961527	across-junctions	(40203115,40203450)(40203919,40203997)	-3553.79241221693	Ifrd1:chr12:40203115-40203997:-1
Ifrd1	chr12	-1	40217163	40216302	40216101	40217347	283.437407567957	67.1866646939873	229.313554527939	across-junctions	(40216101,40216313)(40217158,40217347)	-3140.05078431776	Ifrd1:chr12:40216101-40217347:-1
Ddt	chr10	-1	75771426	75771322	75771230	75772752	196.806728608479	66.1021041830378	20695.311920786	across-junctions	(75771230,75771505)(75772738,75772752)	-3841.37868483867	Ddt:chr10:75771230-75772752:-1
Tspan33	chr6	1	29718353	29718362	29718170	29718554	309.63236347383	64.7537773255023	1626.25440181524	no-junctions	NA	-2590.95740355923	Tspan33:chr6:29718170-29718554:1
Coasy	chr11	1	101086427	101086426	101086112	101086619	299.417300542324	70.2468898676211	1587.97101051122	across-junctions	(101086112,101086143)(101086248,101086619)	-2576.60124012262	Coasy:chr11:101086112-101086619:1
Emd	chrX	1	74261460	74261443	74261332	74261548	283.170307957375	37.5316614657709	36361.055719456	no-junctions	NA	-3386.1097257071	Emd:chrX:74261332-74261548:1
Ltbp1	chr17	1	75391594	75391586	75391400	75391772	292.087337566433	62.3635050489655	400.403040228538	no-junctions	NA	-2413.21001263446	Ltbp1:chr17:75391400-75391772:1
Ssr4	chrX	1	73790407	73790398	73789792	73790830	291.074778692064	70.3774756782177	19988.4095935857	across-junctions	(73789792,73789873)(73790031,73790119)(73790359,73790423)(73790654,73790830)	-3741.16354465709	Ssr4:chrX:73789792-73790830:1
Spa17	chr9	-1	37605813	37603407	37603290	37607659	201.740999374355	66.3065315595	3050.6977553266	across-junctions	(37603290,37603485)(37605793,37605869)(37607617,37607659)	-3042.11907298332	Spa17:chr9:37603290-37607659:-1
Idh3g	chrX	-1	73779161	73779056	73778963	73779640	195.181883621741	67.1976906655396	9646.84367314528	across-junctions	(73778963,73779170)(73779466,73779525)(73779614,73779640)	-3459.98066316832	Idh3g:chrX:73778963-73779640:-1
Spag5	chr11	1	78312168	78312148	78312076	78312220	280.842951855208	24.5856143123153	31927.4789440152	no-junctions	NA	-5628.39123269498	Spag5:chr11:78312076-78312220:1
Slc39a13	chr2	-1	91061972	91061864	91061791	91062062	192.404382205778	66.4649063557394	1648.6225932471	no-junctions	NA	-2563.71373451623	Slc39a13:chr2:91061791-91062062:-1
Slc39a13	chr2	-1	91067825	91067804	91067735	91067873	279.564447174887	23.5639796510051	393.48386691079	no-junctions	NA	-2923.75598471485	Slc39a13:chr2:91067735-91067873:-1
Rmnd5a	chr6	-1	71388837	71388879	71388634	71389554	342.033916605288	225.279384109503	1163.03957350598	no-junctions	NA	-3587.55864592017	Rmnd5a:chr6:71388634-71389554:-1
Rmnd5a	chr6	-1	71389137	71389171	71389078	71389264	334.289351627299	31.3816344296307	598.256716118879	no-junctions	NA	-3484.89766220502	Rmnd5a:chr6:71389078-71389264:-1
Rmnd5a	chr6	-1	71392880	71392859	71392559	71393159	279.642102131968	100.293138016752	265.028023849943	no-junctions	NA	-2746.27332519569	Rmnd5a:chr6:71392559-71393159:-1
Ciao3	chr17	1	25782615	25782607	25782394	25782820	292.250386573451	71.8173715082341	1981.23916209171	no-junctions	NA	-3063.66286826419	Ciao3:chr17:25782394-25782820:1
Ncan	chr8	-1	70093276	70093161	70093085	70093377	185.471705512483	72.6761234077175	5705.78194517499	no-junctions	NA	-3206.79091484235	Ncan:chr8:70093085-70093377:-1
Ncan	chr8	-1	70095243	70095244	70095022	70095466	301.883196562853	74.0107289870702	864.843156374308	no-junctions	NA	-2820.25632517078	Ncan:chr8:70095022-70095466:-1
Dyrk1b	chr7	1	28187081	28187075	28186889	28187261	294.719529976286	62.1433718921737	755.65799092135	no-junctions	NA	-2713.25545927707	Dyrk1b:chr7:28186889-28187261:1
Cse1l	chr2	1	166946086	166946093	166945835	166946351	307.503358237204	86.0054810941163	2398.31871374576	no-junctions	NA	-3491.82722409442	Cse1l:chr2:166945835-166946351:1
Kdelr1	chr7	1	45883551	45883544	45883340	45883732	293.676248242437	68.4000641724733	4811.62394478385	no-junctions	NA	-2989.81645213808	Kdelr1:chr7:45883340-45883732:1
Kdelr1	chr7	1	45883037	45883044	45881615	45883248	307.281259709451	68.081412533173	500.034283685301	across-junctions	(45881615,45881751)(45882977,45883248)	-2925.055275626	Kdelr1:chr7:45881615-45883248:1
Hdgfl2	chr17	1	56100400	56100405	56099369	56100606	305.342904602457	67.2652601795021	3686.14654739109	across-junctions	(56099369,56099386)(56099859,56099984)(56100348,56100606)	-3101.63925883044	Hdgfl2:chr17:56099369-56100606:1
Kcnn1	chr8	-1	70843351	70843372	70843132	70843612	321.675107776286	80.9870204621913	407.474139571372	no-junctions	NA	-2416.95030695654	Kcnn1:chr8:70843132-70843612:-1
Tomm40	chr7	-1	19701525	19701437	19701313	19701632	212.273254155177	65.3795042031606	9252.75509181365	no-junctions	NA	-3461.25089215645	Tomm40:chr7:19701313-19701632:-1
Foxj2	chr6	1	122845169	122845163	122844962	122845364	294.960804252607	67.3013789277186	1183.21244787887	no-junctions	NA	-2479.29975415571	Foxj2:chr6:122844962-122845364:1
Grk5	chr19	1	61092358	61092350	61092122	61092578	292.783168430333	76.1757306496056	217.707179093328	no-junctions	NA	-2431.03810184993	Grk5:chr19:61092122-61092578:1
Grk5	chr19	1	61095792	61095779	61095569	61095968	287.452433044397	70.8486513719359	194.408544258051	no-junctions	NA	-1616.68901992438	Grk5:chr19:61095569-61095968:1
Grik5	chr7	-1	25010048	25009951	25009849	25010152	203.698267792046	67.8305780986426	8331.75029246409	no-junctions	NA	-3304.55559075825	Grik5:chr7:25009849-25010152:-1
Supt5	chr7	-1	28315088	28314991	28314891	28315207	203.135696423796	72.4518993057722	3813.18104415292	no-junctions	NA	-2802.8867789287	Supt5:chr7:28314891-28315207:-1
Cav2	chr6	1	17288856	17288849	17288663	17289035	293.767347511427	62.363284924319	1195.30720406234	no-junctions	NA	-3107.26632040901	Cav2:chr6:17288663-17289035:1
Impdh1	chr6	-1	29200627	29200526	29200434	29200736	199.745138507452	70.3095422009021	2751.80324763146	no-junctions	NA	-2616.50376388693	Impdh1:chr6:29200434-29200736:-1
Cav2	chr6	1	17287051	17287041	17281911	17287356	290.73634688798	105.197533155594	247.51691278335	across-junctions	(17281911,17282081)(17286897,17287356)	-2735.45634554586	Cav2:chr6:17281911-17287356:1
Ciao1	chr2	-1	127242760	127242760	127242547	127242973	300.303150250463	71.7938898404241	2167.21271010498	no-junctions	NA	-3048.5554155397	Ciao1:chr2:127242547-127242973:-1
Ciao1	chr2	-1	127241554	127241562	127241262	127241862	308.724755725518	100.627789678582	277.676796284628	no-junctions	NA	-2860.26229666921	Ciao1:chr2:127241262-127241862:-1
Ciao1	chr2	-1	127241155	127241060	127240938	127241270	205.217595856359	70.0949007819414	294.598198725986	no-junctions	NA	-2290.27548476841	Ciao1:chr2:127240938-127241270:-1
Tfe3	chrX	1	7775001	7775007	7774794	7775202	306.72666863639	71.9368778753096	1428.12283889497	no-junctions	NA	-2434.68839976384	Tfe3:chrX:7774794-7775202:1
Ccnd2	chr6	-1	127125352	127125242	127125162	127125452	190.520212536254	70.5402210817097	413.383094948879	no-junctions	NA	-1916.19889039443	Ccnd2:chr6:127125162-127125452:-1
Ccnd2	chr6	-1	127125956	127125955	127125742	127126168	299.538050984769	71.8408243471553	270.689614009155	no-junctions	NA	-2010.70392400103	Ccnd2:chr6:127125742-127126168:-1
Ccnd2	chr6	-1	127130423	127130428	127130233	127139239	305.645607835783	65.0048235532078	261.643799967405	across-junctions	(127130233,127130486)(127139103,127139239)	-1830.32434430179	Ccnd2:chr6:127130233-127139239:-1
Gmpr	chr13	1	45546193	45546189	45545979	45546399	296.451429625569	70.4588141972431	4029.91874574392	no-junctions	NA	-3543.35541921665	Gmpr:chr13:45545979-45546399:1
Gmpr	chr13	1	45549972	45549967	45549751	45550183	295.766169451412	72.594484110313	294.591643892899	no-junctions	NA	-2386.68632034853	Gmpr:chr13:45549751-45550183:1
Cdh4	chr2	1	179899198	179899160	179898863	179899373	262.595448621353	99.794103808055	1339.70765943788	no-junctions	NA	-3178.48580443211	Cdh4:chr2:179898863-179899373:1
Cdh4	chr2	1	179898897	179898874	179898808	179898940	277.478890201867	22.9609109925912	165.842865715729	no-junctions	NA	-2743.66812854269	Cdh4:chr2:179898808-179898940:1
Cttnbp2	chr6	-1	18366873	18366771	18366478	18367263	198.541772311941	164.952907983991	1174.46373716716	no-junctions	NA	-3866.0968030094	Cttnbp2:chr6:18366478-18367263:-1
Cttnbp2	chr6	-1	18366571	18366526	18366478	18366598	255.341662943692	24.2544498391749	-5.04846593946118e-07	no-junctions	NA	-2367.38400570377	Cttnbp2:chr6:18366478-18366598:-1
Cttnbp2	chr6	-1	18432103	18432126	18431916	18432336	323.283764233572	70.4809764868868	288.997993193441	no-junctions	NA	-2641.69188320724	Cttnbp2:chr6:18431916-18432336:-1
Dlat	chr9	-1	50635975	50635983	50635761	50636205	308.365593926927	74.9589232970963	4105.91523210057	no-junctions	NA	-4048.73582368486	Dlat:chr9:50635761-50636205:-1
Dlat	chr9	-1	50634834	50634758	50634633	50635049	224.87883587181	97.9120986150294	1470.35286452401	no-junctions	NA	-3070.14462955715	Dlat:chr9:50634633-50635049:-1
Dlat	chr9	-1	50635349	50635363	50635156	50635570	314.333940874346	69.0574352319825	330.290978607557	no-junctions	NA	-2908.85352030907	Dlat:chr9:50635156-50635570:-1
Dlat	chr9	-1	50636529	50636519	50636198	50637742	290.425590715018	107.955416481835	287.252472981926	across-junctions	(50636198,50636553)(50637456,50637742)	-3057.34000007467	Dlat:chr9:50636198-50637742:-1
