gene	pas	type	frac.c1	frac.c2
Lmbrd1	chr1:24766296:+	3' most exon	0.365	0.365
Lmbrd1	chr1:24763513:+	3' most exon	0.122	0.122
Lmbrd1	chr1:24763032:+	3' most exon	0.336	0.336
Lmbrd1	chr1:24765744:+	3' most exon	0.177	0.177
Khdrbs2	chr1:32658567:+	3' most exon	0.388	0.388
Khdrbs2	chr1:32658293:+	3' most exon	0.509	0.509
Khdrbs2	chr1:32658005:+	3' most exon	0.104	0.104
Rab23	chr1:33742530:+	3' most exon	0.504	0.504
Rab23	chr1:33740711:+	3' most exon	0.496	0.496
Dst	chr1:34308588:+	3' most exon	0.107	0.107
Dst	chr1:34307676:+	3' most exon	0.0937	0.0937
Dst	chr1:34308408:+	3' most exon	0.439	0.439
Dst	chr1:34308721:+	3' most exon	0.28	0.28
Dst	chr1:34308189:+	3' most exon	0.0802	0.0802
Imp4	chr1:34445684:+	3' most exon	0.126	0.126
Imp4	chr1:34449311:+	3' most exon	0.0887	0.0887
Imp4	chr1:34444959:+	3' most exon	0.785	0.785
Amer3	chr1:34592000:+	3' most exon	0.185	0.185
Amer3	chr1:34590944:+	3' most exon	0.815	0.815
Arid5a	chr1:36320528:+	3' most exon	0.915	0.915
Arid5a	chr1:36322976:+	3' most exon	0.0848	0.0848
Cnnm3	chr1:36527184:+	3' most exon	0.624	0.624
Cnnm3	chr1:36526633:+	3' most exon	0.376	0.376
D430040D24Rik	chr1:36560273:+	Intron	0.65	0.65
D430040D24Rik	chr1:36559219:+	Intron	0.35	0.35
Cox5b	chr1:36693445:+	3' most exon	0.805	0.805
Cox5b	chr1:36692498:+	Internal exon	0.195	0.195
Lipt1	chr1:37876228:+	3' most exon	0.769	0.769
Lipt1	chr1:37877763:+	3' most exon	0.139	0.139
Lipt1	chr1:37875969:+	3' most exon	0.0919	0.0919
Mrpl30	chr1:37898364:+	3' most exon	0.751	0.751
Mrpl30	chr1:37898254:+	3' most exon	0.249	0.249
Eif5b	chr1:38053611:+	3' most exon	0.0858	0.0858
Eif5b	chr1:38022235:+	Internal exon	0.124	0.124
Eif5b	chr1:38052071:+	3' most exon	0.246	0.246
Eif5b	chr1:38019289:+	Internal exon	0.114	0.114
Eif5b	chr1:38053424:+	3' most exon	0.0781	0.0781
Eif5b	chr1:38051949:+	3' most exon	0.201	0.201
Eif5b	chr1:38053170:+	3' most exon	0.151	0.151
Pdcl3	chr1:38996621:+	3' most exon	0.943	0.943
Pdcl3	chr1:38996380:+	3' most exon	0.0573	0.0573
Cnot11	chr1:39546889:+	3' most exon	0.324	0.324
Cnot11	chr1:39545433:+	3' most exon	0.491	0.491
Cnot11	chr1:39545283:+	3' most exon	0.185	0.185
Map4k4	chr1:40026264:+	3' most exon	0.756	0.756
Map4k4	chr1:39980641:+	Internal exon	0.0802	0.0802
Map4k4	chr1:40024974:+	3' most exon	0.164	0.164
Slc9a4	chr1:40631028:+	3' most exon	0.187	0.187
Slc9a4	chr1:40630726:+	3' most exon	0.813	0.813
Slc9a2	chr1:40769221:+	3' most exon	0.902	0.902
Slc9a2	chr1:40768344:+	3' most exon	0.0977	0.0977
Gpr45	chr1:43035456:+	3' most exon	0.485	0.485
Gpr45	chr1:42954488:+	Intron	0.0971	0.0971
Gpr45	chr1:42955877:+	Intron	0.203	0.203
Gpr45	chr1:42953704:+	Intron	0.215	0.215
AI597479	chr1:43115946:+	3' most exon	0.878	0.878
AI597479	chr1:43113367:+	3' most exon	0.122	0.122
Nck2	chr1:43570518:+	3' most exon	0.908	0.908
Nck2	chr1:43554400:+	Internal exon	0.0917	0.0917
Tpp2	chr1:44003000:+	3' most exon	0.723	0.723
Tpp2	chr1:44001409:+	Internal exon	0.114	0.114
Tpp2	chr1:44002378:+	3' most exon	0.162	0.162
Bivm	chr1:44146036:+	3' most exon	0.0962	0.0962
Bivm	chr1:44144517:+	3' most exon	0.904	0.904
Ercc5	chr1:44181169:+	3' most exon	0.869	0.869
Ercc5	chr1:44148521:+	Intron	0.131	0.131
Gulp1	chr1:44796833:+	3' most exon	0.795	0.795
Gulp1	chr1:44795447:+	3' most exon	0.114	0.114
Gulp1	chr1:44796205:+	3' most exon	0.0905	0.0905
Col3a1	chr1:45348968:+	3' most exon	0.899	0.899
Col3a1	chr1:45349117:+	3' most exon	0.101	0.101
Dnah7b	chr1:46373540:+	3' most exon	0.562	0.562
Dnah7b	chr1:46208797:+	Intron	0.438	0.438
Tmeff2	chr1:51187275:+	3' most exon	0.0847	0.0847
Tmeff2	chr1:51185709:+	3' most exon	0.772	0.772
Tmeff2	chr1:51186737:+	3' most exon	0.143	0.143
Cavin2	chr1:51302901:+	3' most exon	0.679	0.679
Cavin2	chr1:51301884:+	3' most exon	0.0844	0.0844
Cavin2	chr1:51300906:+	3' most exon	0.106	0.106
Cavin2	chr1:51302091:+	3' most exon	0.13	0.13
Stat1	chr1:52160924:+	3' most exon	0.384	0.384
Stat1	chr1:52160037:+	3' most exon	0.376	0.376
Stat1	chr1:52161863:+	3' most exon	0.0538	0.0538
Stat1	chr1:52155268:+	Intron	0.12	0.12
Stat1	chr1:52159467:+	3' most exon	0.0661	0.0661
Nemp2	chr1:52651919:+	3' most exon	0.447	0.447
Nemp2	chr1:52653324:+	3' most exon	0.108	0.108
Nemp2	chr1:52650637:+	3' most exon	0.222	0.222
Nemp2	chr1:52649946:+	3' most exon	0.16	0.16
Nemp2	chr1:52650814:+	3' most exon	0.0636	0.0636
Hibch	chr1:52920924:+	3' most exon	0.584	0.584
Hibch	chr1:52906396:+	Intron	0.0536	0.0536
Hibch	chr1:52920754:+	3' most exon	0.362	0.362
Osgepl1	chr1:53326343:+	3' most exon	0.287	0.287
Osgepl1	chr1:53323317:+	Intron	0.652	0.652
Osgepl1	chr1:53317465:+	Intron	0.0606	0.0606
Coq10b	chr1:55072629:+	3' most exon	0.566	0.566
Coq10b	chr1:55072264:+	3' most exon	0.434	0.434
Hspe1	chr1:55091285:+	3' most exon	0.9	0.9
Hspe1	chr1:55089173:+	Internal exon	0.0996	0.0996
Mob4	chr1:55154848:+	3' most exon	0.321	0.321
Mob4	chr1:55153076:+	3' most exon	0.429	0.429
Mob4	chr1:55154193:+	3' most exon	0.102	0.102
Mob4	chr1:55153894:+	3' most exon	0.0971	0.0971
Mob4	chr1:55152919:+	3' most exon	0.0517	0.0517
Mars2	chr1:55248635:+	Single exon	0.416	0.416
Mars2	chr1:55244748:+	Single exon	0.314	0.314
Mars2	chr1:55240011:+	3' most exon	0.269	0.269
Plcl1	chr1:55754096:+	3' most exon	0.291	0.291
Plcl1	chr1:55752954:+	3' most exon	0.709	0.709
1700066M21Rik	chr1:57385490:+	3' most exon	0.701	0.701
1700066M21Rik	chr1:57383619:+	3' most exon	0.107	0.107
1700066M21Rik	chr1:57382886:+	3' most exon	0.089	0.089
1700066M21Rik	chr1:57383218:+	3' most exon	0.103	0.103
Maip1	chr1:57415905:+	3' most exon	0.938	0.938
Maip1	chr1:57417953:+	3' most exon	0.0618	0.0618
Spats2l	chr1:57946965:+	3' most exon	0.882	0.882
Spats2l	chr1:57948394:+	3' most exon	0.0636	0.0636
Spats2l	chr1:57775800:+	Intron	0.0543	0.0543
Aox1	chr1:58106413:+	3' most exon	0.831	0.831
Aox1	chr1:58106296:+	3' most exon	0.169	0.169
Aox3	chr1:58200545:+	3' most exon	0.554	0.554
Aox3	chr1:58202209:+	3' most exon	0.174	0.174
Aox3	chr1:58200310:+	3' most exon	0.272	0.272
Bzw1	chr1:58407264:+	3' most exon	0.454	0.454
Bzw1	chr1:58406524:+	3' most exon	0.248	0.248
Bzw1	chr1:58405419:+	3' most exon	0.128	0.128
Bzw1	chr1:58402987:+	Internal exon	0.0611	0.0611
Bzw1	chr1:58406227:+	3' most exon	0.109	0.109
Nif3l1	chr1:58462276:+	3' most exon	0.468	0.468
Nif3l1	chr1:58465662:+	3' most exon	0.0673	0.0673
Nif3l1	chr1:58461525:+	3' most exon	0.465	0.465
Cflar	chr1:58713889:+	Intron	0.734	0.734
Cflar	chr1:58758855:+	3' most exon	0.266	0.266
Casp8	chr1:58847504:+	3' most exon	0.18	0.18
Casp8	chr1:58847014:+	3' most exon	0.82	0.82
Stradb	chr1:58995122:+	3' most exon	0.856	0.856
Stradb	chr1:58991511:+	Intron	0.0599	0.0599
Stradb	chr1:58991260:+	Intron	0.0841	0.0841
Fzd7	chr1:59486959:+	3' most exon	0.818	0.818
Fzd7	chr1:59489709:+	3' most exon	0.0923	0.0923
Fzd7	chr1:59485338:+	3' most exon	0.0898	0.0898
Gm973	chr1:59636417:+	3' most exon	0.715	0.715
Gm973	chr1:59597028:+	Intron	0.17	0.17
Gm973	chr1:59636302:+	3' most exon	0.115	0.115
Nop58	chr1:59711480:+	3' most exon	0.696	0.696
Nop58	chr1:59719049:+	3' most exon	0.176	0.176
Nop58	chr1:59712188:+	3' most exon	0.0565	0.0565
Nop58	chr1:59692337:+	Internal exon	0.0713	0.0713
Bmpr2	chr1:59877614:+	3' most exon	0.62	0.62
Bmpr2	chr1:59877426:+	3' most exon	0.38	0.38
Fam117b	chr1:59985347:+	3' most exon	0.859	0.859
Fam117b	chr1:59982364:+	3' most exon	0.0811	0.0811
Fam117b	chr1:59984022:+	3' most exon	0.0595	0.0595
Carf	chr1:60117738:+	Intron	0.912	0.912
Carf	chr1:60153953:+	3' most exon	0.0881	0.0881
Nbeal1	chr1:60338286:+	3' most exon	0.571	0.571
Nbeal1	chr1:60332054:+	3' most exon	0.071	0.071
Nbeal1	chr1:60181821:+	Intron	0.0509	0.0509
Nbeal1	chr1:60337360:+	3' most exon	0.154	0.154
Nbeal1	chr1:60331656:+	3' most exon	0.0899	0.0899
Nbeal1	chr1:60331462:+	3' most exon	0.0632	0.0632
Cyp20a1	chr1:60388060:+	3' most exon	0.943	0.943
Cyp20a1	chr1:60387391:+	3' most exon	0.0565	0.0565
Abi2	chr1:60481156:+	3' most exon	0.758	0.758
Abi2	chr1:60481945:+	3' most exon	0.0616	0.0616
Abi2	chr1:60479607:+	3' most exon	0.181	0.181
Nrp2	chr1:62818689:+	3' most exon	0.858	0.858
Nrp2	chr1:62799150:+	Intron	0.142	0.142
Ino80dos	chr1:63158293:+	3' most exon	0.116	0.116
Ino80dos	chr1:63117932:+	Intron	0.254	0.254
Ino80dos	chr1:63148880:+	Intron	0.131	0.131
Ino80dos	chr1:63122058:+	Intron	0.0936	0.0936
Ino80dos	chr1:63115327:+	Intron	0.0904	0.0904
Ino80dos	chr1:63129613:+	Intron	0.052	0.052
Ino80dos	chr1:63114971:+	Intron	0.174	0.174
Ino80dos	chr1:63158140:+	3' most exon	0.0893	0.0893
Adam23	chr1:63596139:+	3' most exon	0.384	0.384
Adam23	chr1:63592912:+	3' most exon	0.424	0.424
Adam23	chr1:63593974:+	3' most exon	0.0798	0.0798
Adam23	chr1:63595534:+	3' most exon	0.055	0.055
Adam23	chr1:63596036:+	3' most exon	0.0578	0.0578
Fastkd2	chr1:63752466:+	3' most exon	0.79	0.79
Fastkd2	chr1:63735824:+	Intron	0.0799	0.0799
Fastkd2	chr1:63753388:+	3' most exon	0.0576	0.0576
Fastkd2	chr1:63731600:+	Internal exon	0.073	0.073
Creb1	chr1:64602860:+	3' most exon	0.317	0.317
Creb1	chr1:64599514:+	3' most exon	0.0921	0.0921
Creb1	chr1:64604548:+	3' most exon	0.0626	0.0626
Creb1	chr1:64598279:+	3' most exon	0.144	0.144
Creb1	chr1:64602347:+	3' most exon	0.236	0.236
Creb1	chr1:64602970:+	3' most exon	0.149	0.149
Ccnyl1	chr1:64725644:+	3' most exon	0.62	0.62
Ccnyl1	chr1:64720522:+	Intron	0.0794	0.0794
Ccnyl1	chr1:64724697:+	3' most exon	0.214	0.214
Ccnyl1	chr1:64725309:+	3' most exon	0.0867	0.0867
Pikfyve	chr1:65276801:+	3' most exon	0.665	0.665
Pikfyve	chr1:65278696:+	3' most exon	0.0875	0.0875
Pikfyve	chr1:65276660:+	3' most exon	0.248	0.248
Map2	chr1:66442583:+	3' most exon	0.448	0.448
Map2	chr1:66442364:+	3' most exon	0.552	0.552
Unc80	chr1:66699143:+	3' most exon	0.874	0.874
Unc80	chr1:66697990:+	3' most exon	0.126	0.126
Rpe	chr1:66718677:+	3' most exon	0.0934	0.0934
Rpe	chr1:66701899:+	Intron	0.0662	0.0662
Rpe	chr1:66719516:+	3' most exon	0.633	0.633
Rpe	chr1:66718086:+	3' most exon	0.137	0.137
Rpe	chr1:66718419:+	3' most exon	0.0709	0.0709
Vwc2l	chr1:70885399:+	3' most exon	0.885	0.885
Vwc2l	chr1:70734521:+	Intron	0.115	0.115
Atic	chr1:71579404:+	3' most exon	0.923	0.923
Atic	chr1:71580083:+	3' most exon	0.0767	0.0767
Apol7d	chr1:71662739:+	3' most exon	0.435	0.435
Apol7d	chr1:71657447:+	Intron	0.565	0.565
Smarcal1	chr1:72635655:+	3' most exon	0.501	0.501
Smarcal1	chr1:72633134:+	3' most exon	0.412	0.412
Smarcal1	chr1:72636788:+	3' most exon	0.0872	0.0872
Rpl37a	chr1:72712217:+	Internal exon	0.94	0.94
Rpl37a	chr1:72713813:+	3' most exon	0.0602	0.0602
Arpc2	chr1:74268181:+	3' most exon	0.808	0.808
Arpc2	chr1:74267950:+	3' most exon	0.192	0.192
Pnkd	chr1:74353686:+	3' most exon	0.677	0.677
Pnkd	chr1:74286235:+	Intron	0.323	0.323
Ctdsp1	chr1:74397242:+	3' most exon	0.225	0.225
Ctdsp1	chr1:74396994:+	3' most exon	0.775	0.775
Vil1	chr1:74435507:+	3' most exon	0.517	0.517
Vil1	chr1:74435103:+	3' most exon	0.483	0.483
Cnot9	chr1:74530834:+	3' most exon	0.852	0.852
Cnot9	chr1:74529450:+	3' most exon	0.148	0.148
Bcs1l	chr1:74592443:+	3' most exon	0.0525	0.0525
Bcs1l	chr1:74592150:+	3' most exon	0.948	0.948
Stk36	chr1:74636894:+	3' most exon	0.629	0.629
Stk36	chr1:74629764:+	Intron	0.175	0.175
Stk36	chr1:74636043:+	3' most exon	0.195	0.195
Ttll4	chr1:74701827:+	3' most exon	0.549	0.549
Ttll4	chr1:74703887:+	3' most exon	0.136	0.136
Ttll4	chr1:74698058:+	3' most exon	0.154	0.154
Ttll4	chr1:74679492:+	Internal exon	0.0859	0.0859
Ttll4	chr1:74699620:+	3' most exon	0.0752	0.0752
Wnt6	chr1:74785312:+	3' most exon	0.5	0.5
Wnt6	chr1:74784881:+	3' most exon	0.5	0.5
Gm16582	chr1:74857429:+	Intron	0.426	0.426
Gm16582	chr1:74857616:+	Intron	0.1	0.1
Gm16582	chr1:74857143:+	Intron	0.311	0.311
Gm16582	chr1:74856854:+	Intron	0.163	0.163
Cdk5r2	chr1:74857429:+	3' most exon	0.563	0.563
Cdk5r2	chr1:74856954:+	3' most exon	0.362	0.362
Cdk5r2	chr1:74857616:+	3' most exon	0.075	0.075
Ankzf1	chr1:75199387:+	3' most exon	0.803	0.803
Ankzf1	chr1:75195538:+	Intron	0.197	0.197
Stk16	chr1:75214242:+	3' most exon	0.902	0.902
Stk16	chr1:75212237:+	Intron	0.0975	0.0975
Des	chr1:75367686:+	3' most exon	0.881	0.881
Des	chr1:75363633:+	Internal exon	0.119	0.119
Gmppa	chr1:75443175:+	3' most exon	0.779	0.779
Gmppa	chr1:75443010:+	3' most exon	0.221	0.221
Stk11ip	chr1:75536935:+	3' most exon	0.73	0.73
Stk11ip	chr1:75536497:+	3' most exon	0.27	0.27
Utp14b	chr1:78667588:+	3' most exon	0.8	0.8
Utp14b	chr1:78666390:+	3' most exon	0.2	0.2
Acsl3	chr1:78707740:+	3' most exon	0.155	0.155
Acsl3	chr1:78706980:+	3' most exon	0.845	0.845
Rhbdd1	chr1:82347344:+	Intron	0.684	0.684
Rhbdd1	chr1:82445366:+	3' most exon	0.316	0.316
Agfg1	chr1:82896278:+	3' most exon	0.104	0.104
Agfg1	chr1:82901001:+	3' most exon	0.421	0.421
Agfg1	chr1:82895639:+	3' most exon	0.249	0.249
Agfg1	chr1:82896381:+	3' most exon	0.226	0.226
Spata3	chr1:86029886:+	3' most exon	0.475	0.475
Spata3	chr1:86030040:+	3' most exon	0.525	0.525
2810459M11Rik	chr1:86055459:+	3' most exon	0.466	0.466
2810459M11Rik	chr1:86053681:+	3' most exon	0.345	0.345
2810459M11Rik	chr1:86054936:+	3' most exon	0.125	0.125
2810459M11Rik	chr1:86054686:+	3' most exon	0.0638	0.0638
Psmd1	chr1:86139285:+	3' most exon	0.849	0.849
Psmd1	chr1:86132758:+	Internal exon	0.151	0.151
Armc9	chr1:86257626:+	Intron	0.562	0.562
Armc9	chr1:86277835:+	3' most exon	0.207	0.207
Armc9	chr1:86213148:+	Intron	0.0809	0.0809
Armc9	chr1:86177570:+	Intron	0.0595	0.0595
Armc9	chr1:86276260:+	3' most exon	0.0901	0.0901
Cops7b	chr1:86606264:+	3' most exon	0.853	0.853
Cops7b	chr1:86606824:+	3' most exon	0.147	0.147
Dis3l2	chr1:87050096:+	3' most exon	0.938	0.938
Dis3l2	chr1:87055012:+	3' most exon	0.0623	0.0623
Eif4e2	chr1:87228018:+	Intron	0.336	0.336
Eif4e2	chr1:87240252:+	3' most exon	0.166	0.166
Eif4e2	chr1:87226233:+	Internal exon	0.249	0.249
Eif4e2	chr1:87238403:+	3' most exon	0.108	0.108
Eif4e2	chr1:87226602:+	Intron	0.141	0.141
Gigyf2	chr1:87450796:+	3' most exon	0.414	0.414
Gigyf2	chr1:87356217:+	Intron	0.223	0.223
Gigyf2	chr1:87357719:+	Intron	0.0878	0.0878
Gigyf2	chr1:87355723:+	Intron	0.203	0.203
Gigyf2	chr1:87450672:+	3' most exon	0.0722	0.0722
Inpp5d	chr1:87720503:+	3' most exon	0.911	0.911
Inpp5d	chr1:87673724:+	Intron	0.0892	0.0892
Ugt1a10	chr1:88218998:+	3' most exon	0.706	0.706
Ugt1a10	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a10	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a7c	chr1:88218998:+	3' most exon	0.706	0.706
Ugt1a7c	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a7c	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a9	chr1:88218998:+	3' most exon	0.705	0.705
Ugt1a9	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a9	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a8	chr1:88218998:+	3' most exon	0.706	0.706
Ugt1a8	chr1:88225358:+	Single exon	0.171	0.171
Ugt1a8	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a6b	chr1:88218998:+	3' most exon	0.706	0.706
Ugt1a6b	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a6b	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a6a	chr1:88218998:+	3' most exon	0.828	0.828
Ugt1a6a	chr1:88225358:+	3' most exon	0.172	0.172
Ugt1a5	chr1:88218998:+	3' most exon	0.705	0.705
Ugt1a5	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a5	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a2	chr1:88218998:+	3' most exon	0.705	0.705
Ugt1a2	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a2	chr1:88218359:+	3' most exon	0.123	0.123
Ugt1a1	chr1:88218998:+	3' most exon	0.705	0.705
Ugt1a1	chr1:88225358:+	3' most exon	0.171	0.171
Ugt1a1	chr1:88218359:+	3' most exon	0.123	0.123
Mroh2a	chr1:88260131:+	3' most exon	0.545	0.545
Mroh2a	chr1:88260792:+	3' most exon	0.455	0.455
Sh3bp4	chr1:89154958:+	3' most exon	0.0786	0.0786
Sh3bp4	chr1:89153793:+	3' most exon	0.406	0.406
Sh3bp4	chr1:89155068:+	3' most exon	0.461	0.461
Sh3bp4	chr1:89153676:+	3' most exon	0.0536	0.0536
Agap1	chr1:89895278:+	3' most exon	0.797	0.797
Agap1	chr1:89890001:+	3' most exon	0.0856	0.0856
Agap1	chr1:89889748:+	3' most exon	0.117	0.117
Cops8	chr1:90613341:+	3' most exon	0.305	0.305
Cops8	chr1:90613115:+	3' most exon	0.695	0.695
Lrrfip1	chr1:91128940:+	3' most exon	0.88	0.88
Lrrfip1	chr1:91117261:+	Intron	0.12	0.12
Ube2f	chr1:91286516:+	3' most exon	0.0873	0.0873
Ube2f	chr1:91297574:+	3' most exon	0.209	0.209
Ube2f	chr1:91285911:+	3' most exon	0.588	0.588
Ube2f	chr1:91285706:+	3' most exon	0.116	0.116
Klhl30	chr1:91362406:+	3' most exon	0.828	0.828
Klhl30	chr1:91362104:+	3' most exon	0.172	0.172
Traf3ip1	chr1:91529276:+	3' most exon	0.646	0.646
Traf3ip1	chr1:91526723:+	Intron	0.0964	0.0964
Traf3ip1	chr1:91532580:+	3' most exon	0.0574	0.0574
Traf3ip1	chr1:91527956:+	3' most exon	0.201	0.201
Asb1	chr1:91559590:+	3' most exon	0.773	0.773
Asb1	chr1:91555118:+	3' most exon	0.0761	0.0761
Asb1	chr1:91558961:+	3' most exon	0.151	0.151
Twist2	chr1:91847965:+	3' most exon	0.473	0.473
Twist2	chr1:91847749:+	3' most exon	0.527	0.527
Capn10	chr1:92947941:+	3' most exon	0.412	0.412
Capn10	chr1:92940866:+	Intron	0.588	0.588
Sned1	chr1:93301065:+	3' most exon	0.707	0.707
Sned1	chr1:93297487:+	3' most exon	0.135	0.135
Sned1	chr1:93296809:+	3' most exon	0.158	0.158
Ppp1r7	chr1:93365340:+	3' most exon	0.244	0.244
Ppp1r7	chr1:93373487:+	3' most exon	0.202	0.202
Ppp1r7	chr1:93367569:+	3' most exon	0.162	0.162
Ppp1r7	chr1:93365207:+	3' most exon	0.392	0.392
Farp2	chr1:93621976:+	3' most exon	0.176	0.176
Farp2	chr1:93593249:+	Intron	0.312	0.312
Farp2	chr1:93621782:+	3' most exon	0.452	0.452
Farp2	chr1:93593397:+	Intron	0.06	0.06
Atg4b	chr1:93789434:+	3' most exon	0.633	0.633
Atg4b	chr1:93788185:+	3' most exon	0.367	0.367
Ing5	chr1:93822038:+	3' most exon	0.741	0.741
Ing5	chr1:93818376:+	3' most exon	0.194	0.194
Ing5	chr1:93819252:+	3' most exon	0.0652	0.0652
D2hgdh	chr1:93852348:+	3' most exon	0.697	0.697
D2hgdh	chr1:93826751:+	Intron	0.0511	0.0511
D2hgdh	chr1:93852034:+	3' most exon	0.252	0.252
Fam174a	chr1:95334474:+	3' most exon	0.83	0.83
Fam174a	chr1:95334361:+	3' most exon	0.17	0.17
Gin1	chr1:97777886:+	Intron	0.824	0.824
Gin1	chr1:97792763:+	3' most exon	0.176	0.176
Cntnap5b	chr1:100490593:+	3' most exon	0.938	0.938
Cntnap5b	chr1:99983279:+	Intron	0.0617	0.0617
Cdh20	chr1:104995477:+	3' most exon	0.92	0.92
Cdh20	chr1:104994679:+	3' most exon	0.0804	0.0804
Zcchc2	chr1:106034068:+	3' most exon	0.694	0.694
Zcchc2	chr1:105993044:+	Intron	0.0726	0.0726
Zcchc2	chr1:106033189:+	3' most exon	0.0823	0.0823
Zcchc2	chr1:106032422:+	3' most exon	0.151	0.151
Serpinb8	chr1:107608982:+	3' most exon	0.611	0.611
Serpinb8	chr1:107607613:+	3' most exon	0.158	0.158
Serpinb8	chr1:107611795:+	3' most exon	0.232	0.232
Cdh7	chr1:110145290:+	3' most exon	0.492	0.492
Cdh7	chr1:110139904:+	3' most exon	0.235	0.235
Cdh7	chr1:110139052:+	3' most exon	0.273	0.273
Cntnap5a	chr1:116587323:+	3' most exon	0.842	0.842
Cntnap5a	chr1:116583186:+	3' most exon	0.0567	0.0567
Cntnap5a	chr1:116582534:+	3' most exon	0.101	0.101
Clasp1	chr1:118609457:+	3' most exon	0.928	0.928
