Gene_Symbol	Ensemble_ID	Peak_ID	Chromosome	Peak_Start	Peak_End	Strand
Comt	ENSMUSG00000000326.13	ENSMUSG00000000326.13_1_1	16;16	18406945;18407303	18407302;18407877	-;-
Rtca	ENSMUSG00000000339.14	ENSMUSG00000000339.14_1_1	3	116488974	116489315	-
Dbt	ENSMUSG00000000340.10	ENSMUSG00000000340.10_1_2	3	116549032	116549288	+
Dbt	ENSMUSG00000000340.10	ENSMUSG00000000340.10_1_3	3	116549607	116549954	+
Dazap2	ENSMUSG00000000346.9	ENSMUSG00000000346.9_1_1	15	100620347	100620736	+
Mcts1	ENSMUSG00000000355.13	ENSMUSG00000000355.13_1_1	X	38613220	38613491	+
Trappc10	ENSMUSG00000000374.8	ENSMUSG00000000374.8_1_1	10	78186760	78187143	-
Ccm2	ENSMUSG00000000378.15	ENSMUSG00000000378.15_1_1	11	6596349	6596734	+
Tbrg4	ENSMUSG00000000384.15	ENSMUSG00000000384.15_1_1	11	6616475	6616688	-
Tbrg4	ENSMUSG00000000384.15	ENSMUSG00000000384.15_2_1	11	6615619	6615948	-
Ndufa9	ENSMUSG00000000399.10	ENSMUSG00000000399.10_1_1	6	126821955	126822165	-
Cttnbp2	ENSMUSG00000000416.16	ENSMUSG00000000416.16_1_1	6	18366510	18367062	-
Galnt1	ENSMUSG00000000420.15	ENSMUSG00000000420.15_1_2	18	24285733	24286100	+
Galnt1	ENSMUSG00000000420.15	ENSMUSG00000000420.15_1_3	18;18	24286289;24286533	24286532;24286762	+;+
Mkrn2	ENSMUSG00000000439.9	ENSMUSG00000000439.9_1_1	6	115617649	115617987	+
Mkrn2	ENSMUSG00000000439.9	ENSMUSG00000000439.9_1_2	6	115618329	115618647	+
Pparg	ENSMUSG00000000440.12	ENSMUSG00000000440.12_1_1	6	115490032	115490381	+
Raf1	ENSMUSG00000000441.17	ENSMUSG00000000441.17_1_1	6	115618603	115618981	-
Pdgfb	ENSMUSG00000000489.7	ENSMUSG00000000489.7_1_1	15	79995886	79996274	-
Acvrl1	ENSMUSG00000000530.16	ENSMUSG00000000530.16_1_1	15	101143382	101143613	+
Grasp	ENSMUSG00000000531.5	ENSMUSG00000000531.5_1_1	15	101232417	101232746	+
Acvr1b	ENSMUSG00000000532.11	ENSMUSG00000000532.11_1_1	15	101213340	101213683	+
Tom1l2	ENSMUSG00000000538.18	ENSMUSG00000000538.18_2_1	11	60226726	60227094	-
Zfp385a	ENSMUSG00000000552.10	ENSMUSG00000000552.10_1_1	15	103313901	103314191	-
Gabra2	ENSMUSG00000000560.9	ENSMUSG00000000560.9_1_1	5;5	70959647;70959856	70959855;70960098	-;-
Gabra2	ENSMUSG00000000560.9	ENSMUSG00000000560.9_1_2	5	70958420	70958773	-
Wdr77	ENSMUSG00000000561.14	ENSMUSG00000000561.14_1_1	3;3	105967611;105967827	105967826;105968154	+;+
Wdr77	ENSMUSG00000000561.14	ENSMUSG00000000561.14_1_2	3	105969052	105969324	+
Wdr77	ENSMUSG00000000561.14	ENSMUSG00000000561.14_1_3	3	105969544	105969598	+
Atp5f1	ENSMUSG00000000563.17	ENSMUSG00000000563.17_1_1	3	105942715	105943041	-
Hnrnpd	ENSMUSG00000000568.15	ENSMUSG00000000568.15_1_1	5	99962465	99962594	-
Hnrnpd	ENSMUSG00000000568.15	ENSMUSG00000000568.15_2_1	5	99961068	99961325	-
Hnrnpd	ENSMUSG00000000568.15	ENSMUSG00000000568.15_2_3	5	99955983	99956230	-
C1d	ENSMUSG00000000581.8	ENSMUSG00000000581.8_1_1	11	17266834	17267200	+
Gm2a	ENSMUSG00000000594.7	ENSMUSG00000000594.7_1_2	11	55110036	55110155	+
Gm2a	ENSMUSG00000000594.7	ENSMUSG00000000594.7_1_3	11	55110515	55110886	+
Krit1	ENSMUSG00000000600.15	ENSMUSG00000000600.15_1_1	5	3840976	3841383	+
Clcn4	ENSMUSG00000000605.9	ENSMUSG00000000605.9_1_2	7	7282323	7282689	-
Sema4f	ENSMUSG00000000627.15	ENSMUSG00000000627.15_1_1	6	82911895	82912262	-
Myo18a	ENSMUSG00000000631.20	ENSMUSG00000000631.20_1_1	11	77865581	77865972	+
Sez6	ENSMUSG00000000632.13	ENSMUSG00000000632.13_1_1	11	77978646	77979035	+
Cd52	ENSMUSG00000000682.7	ENSMUSG00000000682.7_1_1	4	134093548	134093876	-
Loxl3	ENSMUSG00000000693.10	ENSMUSG00000000693.10_1_1	6	83050967	83051319	+
Kat2b	ENSMUSG00000000708.14	ENSMUSG00000000708.14_1_1	17	53672317	53672702	+
Rab5b	ENSMUSG00000000711.3	ENSMUSG00000000711.3_1_1	10	128677186	128677479	-
Spg7	ENSMUSG00000000738.18	ENSMUSG00000000738.18_2_1	8	123097419	123097742	+
Rpl13	ENSMUSG00000000740.12	ENSMUSG00000000740.12_1_1	8	123105046	123105213	+
Chmp1a	ENSMUSG00000000743.9	ENSMUSG00000000743.9_1_1	8	123204285	123204657	-
Rpa1	ENSMUSG00000000751.13	ENSMUSG00000000751.13_1_1	11	75300357	75300741	-
Tubgcp3	ENSMUSG00000000759.14	ENSMUSG00000000759.14_1_2	8	12614277	12614673	-
Tcf7	ENSMUSG00000000782.15	ENSMUSG00000000782.15_1_3	11	52252311	52252655	-
Ddx3x	ENSMUSG00000000787.12	ENSMUSG00000000787.12_1_1	X	13293626	13294022	+
Slc5a5	ENSMUSG00000000792.2	ENSMUSG00000000792.2_1_1	8	70882897	70883277	-
Usp32	ENSMUSG00000000804.14	ENSMUSG00000000804.14_1_1	11	84984460	84984863	-
Car4	ENSMUSG00000000805.18	ENSMUSG00000000805.18_1_1	11	84965654	84966034	+
Zfp512b	ENSMUSG00000000823.16	ENSMUSG00000000823.16_2_1	2	181582127	181582500	-
Dnajc5	ENSMUSG00000000826.16	ENSMUSG00000000826.16_1_1	2	181549325	181549494	+
Dnajc5	ENSMUSG00000000826.16	ENSMUSG00000000826.16_1_2	2	181552508	181552869	+
Dnajc5	ENSMUSG00000000826.16	ENSMUSG00000000826.16_1_3	2	181553277	181553377	+
Tpd52l2	ENSMUSG00000000827.18	ENSMUSG00000000827.18_1_1	2	181515107	181515354	+
Tpd52l2	ENSMUSG00000000827.18	ENSMUSG00000000827.18_1_2	2	181515549	181515853	+
Tpd52l2	ENSMUSG00000000827.18	ENSMUSG00000000827.18_1_3	2	181516488	181516666	+
Fmr1	ENSMUSG00000000838.17	ENSMUSG00000000838.17_1_1	X	68716681	68716904	+
Fmr1	ENSMUSG00000000838.17	ENSMUSG00000000838.17_1_2	X	68717447	68717932	+
Bcl11a	ENSMUSG00000000861.15	ENSMUSG00000000861.15_2_1	11	24172777	24173195	+
Pxmp4	ENSMUSG00000000876.11	ENSMUSG00000000876.11_1_1	2	154595282	154595546	-
Pxmp4	ENSMUSG00000000876.11	ENSMUSG00000000876.11_2_1	2	154587637	154587960	-
Pxmp4	ENSMUSG00000000876.11	ENSMUSG00000000876.11_2_3	2	154586732	154586986	-
Dlg3	ENSMUSG00000000881.12	ENSMUSG00000000881.12_1_1	X	100818023	100818395	+
Gnb1l	ENSMUSG00000000884.17	ENSMUSG00000000884.17_1_1	16	18564199	18564525	+
Mmp11	ENSMUSG00000000901.17	ENSMUSG00000000901.17_1_1	10	75923275	75923577	-
Smarcb1	ENSMUSG00000000902.13	ENSMUSG00000000902.13_1_1	10	75896782	75897067	-
Hip1r	ENSMUSG00000000915.15	ENSMUSG00000000915.15_1_1	5	124002803	124003186	+
Nsun5	ENSMUSG00000000916.15	ENSMUSG00000000916.15_1_1	5	135375906	135376141	+
Nsun5	ENSMUSG00000000916.15	ENSMUSG00000000916.15_1_2	5	135376451	135376785	+
Top1mt	ENSMUSG00000000934.9	ENSMUSG00000000934.9_1_1	15	75657038	75657212	-
Mmp14	ENSMUSG00000000957.11	ENSMUSG00000000957.11_1_1	14	54440852	54441216	+
Slc7a7	ENSMUSG00000000958.10	ENSMUSG00000000958.10_1_1	14	54369467	54369809	-
Oxa1l	ENSMUSG00000000959.7	ENSMUSG00000000959.7_1_1	14	54368185	54368630	+
Oxa1l	ENSMUSG00000000959.7	ENSMUSG00000000959.7_1_2	14	54369157	54369347	+
Heatr6	ENSMUSG00000000976.13	ENSMUSG00000000976.13_1_2	11	83782295	83782636	+
Ccl3	ENSMUSG00000000982.5	ENSMUSG00000000982.5_1_1	11	83647861	83648217	-
Wfdc18	ENSMUSG00000000983.13	ENSMUSG00000000983.13_1_1	11	83711184	83711344	+
Icam4	ENSMUSG00000001014.6	ENSMUSG00000001014.6_1_1	9	21030118	21030566	+
Ilf2	ENSMUSG00000001016.12	ENSMUSG00000001016.12_1_1	3	90487557	90487942	+
Ilf2	ENSMUSG00000001016.12	ENSMUSG00000001016.12_1_2	3	90488108	90488291	+
Chtop	ENSMUSG00000001017.15	ENSMUSG00000001017.15_1_1	3	90498958	90499349	-
Snapin	ENSMUSG00000001018.15	ENSMUSG00000001018.15_1_1	3	90488391	90488784	-
S100a3	ENSMUSG00000001021.12	ENSMUSG00000001021.12_1_1	3	90602392	90602629	+
S100a5	ENSMUSG00000001023.10	ENSMUSG00000001023.10_1_1	3	90611530	90611769	+
Icam2	ENSMUSG00000001029.15	ENSMUSG00000001029.15_1_1	11	106377671	106377969	-
Mapk7	ENSMUSG00000001034.17	ENSMUSG00000001034.17_1_1	11	61488839	61489191	-
Epn2	ENSMUSG00000001036.17	ENSMUSG00000001036.17_1_2	11	61517264	61517636	-
B9d1	ENSMUSG00000001039.12	ENSMUSG00000001039.12_1_1	11	61512658	61512911	+
Sec24b	ENSMUSG00000001052.15	ENSMUSG00000001052.15_1_1	3;3	129982801;129983158	129983157;129983576	-;-
Rmnd5b	ENSMUSG00000001054.9	ENSMUSG00000001054.9_1_1	11	51623680	51624061	-
Nhp2	ENSMUSG00000001056.3	ENSMUSG00000001056.3_1_1	11	51623119	51623422	+
Vps9d1	ENSMUSG00000001062.18	ENSMUSG00000001062.18_1_1	8	123242369	123242749	-
Zfp276	ENSMUSG00000001065.15	ENSMUSG00000001065.15_1_1	8	123268021	123268340	+
Zfp276	ENSMUSG00000001065.15	ENSMUSG00000001065.15_1_2	8	123269350	123269698	+
Mfsd10	ENSMUSG00000001082.12	ENSMUSG00000001082.12_1_1	5	34633665	34633993	-
Kctd10	ENSMUSG00000001098.15	ENSMUSG00000001098.15_1_1	5	114363579	114363961	-
Poldip2	ENSMUSG00000001100.10	ENSMUSG00000001100.10_1_1	11	78521827	78522107	+
Poldip2	ENSMUSG00000001100.10	ENSMUSG00000001100.10_1_2	11	78522363	78522714	+
Ift20	ENSMUSG00000001105.15	ENSMUSG00000001105.15_1_1	11;11	78541376;78541503	78541502;78541679	+;+
Col6a1	ENSMUSG00000001119.7	ENSMUSG00000001119.7_1_2	10	76708793	76709157	-
Pcbp3	ENSMUSG00000001120.15	ENSMUSG00000001120.15_1_1	10	76761864	76762247	-
Lgals9	ENSMUSG00000001123.15	ENSMUSG00000001123.15_1_1	11	78963006	78963383	-
Araf	ENSMUSG00000001127.12	ENSMUSG00000001127.12_1_1	X	20852508	20852885	+
Araf	ENSMUSG00000001127.12	ENSMUSG00000001127.12_2_1	X;X	20860136;20860571	20860570;20861041	+;+
Cfp	ENSMUSG00000001128.7	ENSMUSG00000001128.7_1_1	X	20925535	20925817	-
Timp1	ENSMUSG00000001131.11	ENSMUSG00000001131.11_1_1	X	20874501	20874689	+
Uxt	ENSMUSG00000001134.9	ENSMUSG00000001134.9_1_1	X;X	20951745;20951892	20951891;20952000	-;-
Cnnm3	ENSMUSG00000001138.13	ENSMUSG00000001138.13_1_1	1	36526357	36526636	+
Cnnm3	ENSMUSG00000001138.13	ENSMUSG00000001138.13_1_2	1	36526860	36527187	+
Lman2l	ENSMUSG00000001143.13	ENSMUSG00000001143.13_2_1	1	36423221	36423559	-
Mcm3ap	ENSMUSG00000001150.7	ENSMUSG00000001150.7_1_1	10	76515608	76515856	+
Pcnt	ENSMUSG00000001151.10	ENSMUSG00000001151.10_1_1	10	76351280	76351662	-
Mxd1	ENSMUSG00000001156.9	ENSMUSG00000001156.9_1_4	6	86647064	86647426	-
Gmcl1	ENSMUSG00000001157.13	ENSMUSG00000001157.13_2_1	6;6	86692296;86692571	86692570;86692779	-;-
Snrnp27	ENSMUSG00000001158.13	ENSMUSG00000001158.13_2_1	6	86675220	86675557	-
Oas1c	ENSMUSG00000001166.17	ENSMUSG00000001166.17_1_2	5	120800258	120800575	-
Ocrl	ENSMUSG00000001173.15	ENSMUSG00000001173.15_2_1	X	47965471	47965853	+
Calm1	ENSMUSG00000001175.14	ENSMUSG00000001175.14_1_1	12	100206939	100207273	+
Calm1	ENSMUSG00000001175.14	ENSMUSG00000001175.14_1_2	12	100209516	100209745	+
Agpat3	ENSMUSG00000001211.15	ENSMUSG00000001211.15_1_1	10	78273643	78273752	-
Agpat3	ENSMUSG00000001211.15	ENSMUSG00000001211.15_1_2	10	78271626	78271891	-
Agpat3	ENSMUSG00000001211.15	ENSMUSG00000001211.15_1_3	10	78269914	78270032	-
Agpat3	ENSMUSG00000001211.15	ENSMUSG00000001211.15_1_4	10	78269232	78269504	-
Sema6b	ENSMUSG00000001227.11	ENSMUSG00000001227.11_1_1	17	56123096	56123470	-
Dpp9	ENSMUSG00000001229.8	ENSMUSG00000001229.8_1_1	17	56186682	56187114	-
Ramp2	ENSMUSG00000001240.13	ENSMUSG00000001240.13_1_1	11	101247860	101248238	+
Gramd1a	ENSMUSG00000001248.15	ENSMUSG00000001248.15_1_1	7	31130159	31130535	-
Gabrg1	ENSMUSG00000001260.10	ENSMUSG00000001260.10_1_2	5	70751848	70752227	-
Ckb	ENSMUSG00000001270.9	ENSMUSG00000001270.9_1_1	12	111669373	111669838	-
Sp1	ENSMUSG00000001280.13	ENSMUSG00000001280.13_1_1	15	102436008	102436384	+
Myg1	ENSMUSG00000001285.12	ENSMUSG00000001285.12_1_1	15	102337358	102338060	+
Rarg	ENSMUSG00000001288.15	ENSMUSG00000001288.15_1_1	15	102234949	102235336	-
Pfdn5	ENSMUSG00000001289.12	ENSMUSG00000001289.12_1_1	15	102331288	102331464	+
Efnb2	ENSMUSG00000001300.16	ENSMUSG00000001300.16_1_1	8;8	8617439;8617817	8617816;8618156	-;-
Rrp15	ENSMUSG00000001305.5	ENSMUSG00000001305.5_1_1	1	186721110	186721503	-
Rnd2	ENSMUSG00000001313.12	ENSMUSG00000001313.12_1_1	11	101471461	101471832	+
Srr	ENSMUSG00000001323.17	ENSMUSG00000001323.17_1_2	11	74906851	74907113	-
Fndc5	ENSMUSG00000001334.9	ENSMUSG00000001334.9_1_2	4	129144231	129144551	+
Fbxo9	ENSMUSG00000001366.14	ENSMUSG00000001366.14_1_1	9	78095571	78095934	-
Fbxo9	ENSMUSG00000001366.14	ENSMUSG00000001366.14_2_1	9	78081505	78081898	-
Vps50	ENSMUSG00000001376.17	ENSMUSG00000001376.17_2_1	6	3602919	3603309	+
Hars	ENSMUSG00000001380.6	ENSMUSG00000001380.6_1_1	18	36766545	36766930	-
Zmat2	ENSMUSG00000001383.8	ENSMUSG00000001383.8_1_1	18;18	36797982;36798274	36798273;36798677	+;+
Smg5	ENSMUSG00000001415.10	ENSMUSG00000001415.10_1_1	3	88361951	88362333	+
Cct3	ENSMUSG00000001416.13	ENSMUSG00000001416.13_1_1	3	88321078	88321221	+
Mef2d	ENSMUSG00000001419.17	ENSMUSG00000001419.17_1_1	3	88169644	88169850	+
Mef2d	ENSMUSG00000001419.17	ENSMUSG00000001419.17_1_2	3	88171692	88172057	+
Snd1	ENSMUSG00000001424.14	ENSMUSG00000001424.14_1_1	6	28888359	28888823	+
Col18a1	ENSMUSG00000001435.15	ENSMUSG00000001435.15_1_1	10	77053077	77053381	-
Col18a1	ENSMUSG00000001435.15	ENSMUSG00000001435.15_1_2	10	77052216	77052543	-
Slc19a1	ENSMUSG00000001436.15	ENSMUSG00000001436.15_2_1	10	77050031	77050416	+
Kpnb1	ENSMUSG00000001440.5	ENSMUSG00000001440.5_1_1	11	97161569	97161897	-
Kpnb1	ENSMUSG00000001440.5	ENSMUSG00000001440.5_1_2	11	97159737	97160047	-
Npepps	ENSMUSG00000001441.13	ENSMUSG00000001441.13_1_2	11	97205848	97206226	-
Tbx21	ENSMUSG00000001444.2	ENSMUSG00000001444.2_1_1	11	97098079	97098452	-
Mrpl10	ENSMUSG00000001445.10	ENSMUSG00000001445.10_1_1	11;11	97048665;97048899	97048898;97049194	+;+
Cyp51	ENSMUSG00000001467.5	ENSMUSG00000001467.5_1_1	5	4082585	4082913	-
Cyp51	ENSMUSG00000001467.5	ENSMUSG00000001467.5_1_3	5	4081736	4081861	-
Cyp51	ENSMUSG00000001467.5	ENSMUSG00000001467.5_1_4	5	4081234	4081439	-
Tcf25	ENSMUSG00000001472.17	ENSMUSG00000001472.17_1_1	8	123403411	123403798	+
Def8	ENSMUSG00000001482.15	ENSMUSG00000001482.15_2_1	8	123462904	123463250	+
Col1a1	ENSMUSG00000001506.10	ENSMUSG00000001506.10_1_1	11;11	94951498;94951649	94951648;94951878	+;+
Itga3	ENSMUSG00000001507.16	ENSMUSG00000001507.16_2_1	11	95044470	95044861	-
Itfg2	ENSMUSG00000001518.12	ENSMUSG00000001518.12_1_1	6	128409465	128409847	-
Nrip2	ENSMUSG00000001520.12	ENSMUSG00000001520.12_1_1	6	128408535	128408915	+
Tulp3	ENSMUSG00000001521.12	ENSMUSG00000001521.12_2_1	6	128321168	128321555	-
Gtf2h4	ENSMUSG00000001524.14	ENSMUSG00000001524.14_1_1	17	35667762	35667984	-
Tubb5	ENSMUSG00000001525.10	ENSMUSG00000001525.10_1_1	17	35834828	35835195	-
Ell2	ENSMUSG00000001542.7	ENSMUSG00000001542.7_1_1	13	75771870	75772342	+
Jup	ENSMUSG00000001552.14	ENSMUSG00000001552.14_1_1	11	100370631	100371014	-
Fkbp10	ENSMUSG00000001555.10	ENSMUSG00000001555.10_1_1	11	100424457	100424817	+
Ergic1	ENSMUSG00000001576.14	ENSMUSG00000001576.14_1_1	17	26655099	26655276	+
Ergic1	ENSMUSG00000001576.14	ENSMUSG00000001576.14_1_2	17;17	26656347;26656592	26656591;26656910	+;+
Ifrd1	ENSMUSG00000001627.12	ENSMUSG00000001627.12_1_1	12	40203151	40203431	-
Stk38l	ENSMUSG00000001630.13	ENSMUSG00000001630.13_1_1	6	146776218	146776495	+
Stk38l	ENSMUSG00000001630.13	ENSMUSG00000001630.13_1_3	6;6	146778240;146778491	146778490;146778717	+;+
Akr1b3	ENSMUSG00000001642.18	ENSMUSG00000001642.18_1_1	6	34303954	34304313	-
Gstt1	ENSMUSG00000001663.10	ENSMUSG00000001663.10_1_1	10	75783822	75784194	-
Ddt	ENSMUSG00000001666.8	ENSMUSG00000001666.8_1_1	10	75771254	75771503	-
Ubl3	ENSMUSG00000001687.15	ENSMUSG00000001687.15_1_1	5	148504661	148505034	-
Gramd3	ENSMUSG00000001700.9	ENSMUSG00000001700.9_1_1	18;18	56503246;56503458	56503457;56503775	+;+
Eef1e1	ENSMUSG00000001707.8	ENSMUSG00000001707.8_1_1	13	38645707	38646087	-
Akt1	ENSMUSG00000001729.14	ENSMUSG00000001729.14_1_1	12	112653846	112654227	-
Tcirg1	ENSMUSG00000001750.15	ENSMUSG00000001750.15_1_1	19	3896079	3896421	-
Naglu	ENSMUSG00000001751.9	ENSMUSG00000001751.9_1_1	11	101077251	101077655	+
Coasy	ENSMUSG00000001755.12	ENSMUSG00000001755.12_1_1	11	101086138	101086577	+
Smo	ENSMUSG00000001761.7	ENSMUSG00000001761.7_1_1	6	29761022	29761338	+
Tspan33	ENSMUSG00000001763.14	ENSMUSG00000001763.14_1_1	6	29718168	29718544	+
Crnkl1	ENSMUSG00000001767.5	ENSMUSG00000001767.5_1_1	2	145918301	145918574	-
Crnkl1	ENSMUSG00000001767.5	ENSMUSG00000001767.5_1_2	2	145917560	145917790	-
Rin2	ENSMUSG00000001768.16	ENSMUSG00000001768.16_1_1	2	145887217	145887606	+
Folh1	ENSMUSG00000001773.14	ENSMUSG00000001773.14_1_1	7;7	86719034;86719378	86719377;86719654	-;-
Chordc1	ENSMUSG00000001774.8	ENSMUSG00000001774.8_2_1	9	18313632	18313993	+
Chordc1	ENSMUSG00000001774.8	ENSMUSG00000001774.8_2_2	9	18315491	18315684	+
Chordc1	ENSMUSG00000001774.8	ENSMUSG00000001774.8_2_3	9	18317179	18317331	+
Rtcb	ENSMUSG00000001783.3	ENSMUSG00000001783.3_1_1	10	85938647	85939021	-
Pwp1	ENSMUSG00000001785.13	ENSMUSG00000001785.13_1_1	10	85888077	85888295	+
Pwp1	ENSMUSG00000001785.13	ENSMUSG00000001785.13_1_2	10	85888593	85889057	+
Fbxo7	ENSMUSG00000001786.14	ENSMUSG00000001786.14_1_1	10	86047944	86048315	+
Capns1	ENSMUSG00000001794.13	ENSMUSG00000001794.13_1_1	7	30186978	30187361	-
Lrp3	ENSMUSG00000001802.16	ENSMUSG00000001802.16_1_1	7	35200912	35201269	-
Clpb	ENSMUSG00000001829.17	ENSMUSG00000001829.17_1_1	7	101787537	101787799	+
Sept7	ENSMUSG00000001833.17	ENSMUSG00000001833.17_1_1	9	25308173	25308557	+
Zdhhc4	ENSMUSG00000001844.10	ENSMUSG00000001844.10_1_1	5	143316507	143316819	-
Rac1	ENSMUSG00000001847.14	ENSMUSG00000001847.14_1_2	5	143505490	143505854	-
Nup214	ENSMUSG00000001855.15	ENSMUSG00000001855.15_1_1	2	32052119	32052364	+
Nup214	ENSMUSG00000001855.15	ENSMUSG00000001855.15_1_2	2	32052903	32053128	+
Aif1l	ENSMUSG00000001864.13	ENSMUSG00000001864.13_1_2	2	31973085	31973395	+
Ltbp1	ENSMUSG00000001870.15	ENSMUSG00000001870.15_1_2	17	75391403	75391737	+
Ugp2	ENSMUSG00000001891.16	ENSMUSG00000001891.16_1_1	11	21321667	21322095	-
Trmt1	ENSMUSG00000001909.16	ENSMUSG00000001909.16_1_1	8	84699179	84699762	+
Nacc1	ENSMUSG00000001910.4	ENSMUSG00000001910.4_1_2	8	84670495	84670857	-
Nfix	ENSMUSG00000001911.16	ENSMUSG00000001911.16_2_1	8	84704701	84705081	-
Slc1a5	ENSMUSG00000001918.17	ENSMUSG00000001918.17_1_1	7	16797858	16798228	+
Uba1	ENSMUSG00000001924.15	ENSMUSG00000001924.15_1_1	X	20682395	20682698	+
Vwf	ENSMUSG00000001930.17	ENSMUSG00000001930.17_2_1	6	125686380	125686675	+
Siae	ENSMUSG00000001942.8	ENSMUSG00000001942.8_2_2	9	37647912	37648238	+
Esam	ENSMUSG00000001946.14	ENSMUSG00000001946.14_1_1	9	37537929	37538300	+
Spa17	ENSMUSG00000001948.10	ENSMUSG00000001948.10_1_1	9	37603312	37603461	-
Fam50a	ENSMUSG00000001962.8	ENSMUSG00000001962.8_1_1	X	74319981	74320131	+
Emd	ENSMUSG00000001964.14	ENSMUSG00000001964.14_1_1	X	74257370	74257748	+
Grik3	ENSMUSG00000001985.9	ENSMUSG00000001985.9_1_2	4	125713781	125714164	+
Gria3	ENSMUSG00000001986.16	ENSMUSG00000001986.16_2_1	X	41678181	41678584	+
Sipa1l2	ENSMUSG00000001995.9	ENSMUSG00000001995.9_1_1	8	125418084	125418458	-
Pdzd4	ENSMUSG00000002006.12	ENSMUSG00000002006.12_1_1	X	73793358	73793739	-
Srpk3	ENSMUSG00000002007.5	ENSMUSG00000002007.5_1_1	X	73778579	73778898	+
Idh3g	ENSMUSG00000002010.17	ENSMUSG00000002010.17_1_1	X	73778976	73779149	-
