Gene_Symbol	Ensemble_ID	UTR_ID	p-value	q-value	EPL_<pA>	GCL_RMS_<pA>	GL_<pA>	MCL_<pA>	ONL_<pA>	EPL_proximal_PUI
Ilf2	ENSMUSG00000001016.12	ENSMUSG00000001016.12_1	5.31953202026668e-09	1.74480650264747e-06	1.14784946236559	1.08253588516746	1.09311964631114	1.08117249154453	1.11055634807418	1.25988916598051
Zfp276	ENSMUSG00000001065.15	ENSMUSG00000001065.15_1	2.41515706182524e-30	2.90784910243758e-27	1.71186440677966	1.99465240641711	1.68571428571429	1.9	1.40909090909091	-0.640053959596367
Poldip2	ENSMUSG00000001100.10	ENSMUSG00000001100.10_1	3.4695651448974e-42	5.12454771901345e-39	1.77222222222222	1.6802637000412	1.74934579439252	1.78593913955929	1.85567491826249	-0.879318693208153
Cnnm3	ENSMUSG00000001138.13	ENSMUSG00000001138.13_1	2.90769137159171e-10	1.18633807960942e-07	1.49717514124294	1.64	1.67597765363128	1.49130434782609	1.73529411764706	0.0080598326816386
Calm1	ENSMUSG00000001175.14	ENSMUSG00000001175.14_1	9.83194674446459e-161	1.80022944891147e-157	1.24619545044806	1.18835823909532	1.16657012971056	1.22438524590164	1.17610335558831	0.807088594744094
Agpat3	ENSMUSG00000001211.15	ENSMUSG00000001211.15_1	9.61083385495135e-229	1.76935451269654e-225	2.52732502396932	3.08932038834951	2.5273661929241	2.80909090909091	2.10050675675676	0.170538475381595
Mef2d	ENSMUSG00000001419.17	ENSMUSG00000001419.17_1	7.45402201547604e-11	3.27231566479398e-08	1.87725631768953	1.80424366872005	1.83434099153567	1.78680203045685	1.88901601830664	-1.41413195591029
Col18a1	ENSMUSG00000001435.15	ENSMUSG00000001435.15_1	8.21905512613548e-06	0.00134792504068622	1.5	1.97674418604651	1.58730158730159	1.75	1.56797966963151	0
Kpnb1	ENSMUSG00000001440.5	ENSMUSG00000001440.5_1	4.375099069695e-20	3.73633460551953e-17	1.55022488755622	1.33288590604027	1.51896921975662	1.5408	1.45663956639566	-0.144971139648655
Cyp51	ENSMUSG00000001467.5	ENSMUSG00000001467.5_1	2.30033468633058e-62	3.85306059960372e-59	1.23430962343096	1.80718954248366	1.58008658008658	1.72549019607843	1.17512274959083	2.27623353701759
Ergic1	ENSMUSG00000001576.14	ENSMUSG00000001576.14_1	3.82146220040217e-06	0.000699327582673597	1.86547507055503	1.78800557880056	1.82378472222222	1.8470066518847	1.80696202531646	-1.33856617232451
Stk38l	ENSMUSG00000001630.13	ENSMUSG00000001630.13_1	1.03671763139084e-19	8.70842810368304e-17	1.68493150684931	1.4	1.79872204472843	1.66442953020134	1.54393305439331	-0.54373142062517
Crnkl1	ENSMUSG00000001767.5	ENSMUSG00000001767.5_1	1.05618458054259e-20	9.36835722941278e-18	1.36082474226804	1.44933920704846	1.0253164556962	1.58333333333333	1.31736526946108	0.403677461028802
Chordc1	ENSMUSG00000001774.8	ENSMUSG00000001774.8_2	7.29908865899867e-40	1.04522949596861e-36	1.58028169014084	1.38897168405365	1.29503916449086	1.31919642857143	1.61504424778761	1.37243859093298
Pwp1	ENSMUSG00000001785.13	ENSMUSG00000001785.13_1	3.44957109004542e-09	1.19367351047657e-06	1.86111111111111	1.93617021276596	1.80406386066763	1.98837209302326	1.86186186186186	-1.301224963725
Nup214	ENSMUSG00000001855.15	ENSMUSG00000001855.15_1	6.59959113340485e-21	5.93303242893096e-18	1.34328358208955	1.08977556109726	1.31739130434783	1.008	1.20618556701031	0.460572289644381
Acp2	ENSMUSG00000002103.15	ENSMUSG00000002103.15_1	4.32973057585945e-70	7.47311497393341e-67	1.65612648221344	2.55795148247978	2.31334841628959	2.44525547445255	1.77483443708609	0.764384798070043
Celf2	ENSMUSG00000002107.18	ENSMUSG00000002107.18_2	1.67245492227381e-228	3.07731705698381e-225	1.45429740791269	1.68849557522124	1.27068214804064	1.27036395147314	1.35718809373021	0.132057740612062
Sf3a1	ENSMUSG00000002129.11	ENSMUSG00000002129.11_1	5.26003974665524e-26	5.75448348284083e-23	1.18013245033113	1.05253940455342	1.10402684563758	1.14545454545455	1.18801089918256	1.08904616115685
Rmnd5a	ENSMUSG00000002222.14	ENSMUSG00000002222.14_1	3.16884056407192e-05	0.00453144200662285	1.93980582524272	1.92707292707293	1.92486583184258	2	1.90675990675991	-1.96092046853724
Ncan	ENSMUSG00000002341.8	ENSMUSG00000002341.8_1	2.88963597996548e-08	8.43773706149919e-06	1.87049399198932	1.90799656061909	1.85750813575081	1.89122807017544	1.90177065767285	-1.37125188885382
Tmem161a	ENSMUSG00000002342.17	ENSMUSG00000002342.17_1	1.17087596795363e-35	1.57716992883354e-32	1.11918604651163	1.04940923737916	1.0273381294964	1.27941176470588	1.1531914893617	1.42780504533241
Slc9a3r2	ENSMUSG00000002504.14	ENSMUSG00000002504.14_1	1.22824892315653e-14	7.55712156674807e-12	1.47579983593109	1.37735375345217	1.40247160988644	1.40126050420168	1.476494486361	0.0697668707414179
Ykt6	ENSMUSG00000002741.9	ENSMUSG00000002741.9_1	4.03136619350192e-45	6.0873629521879e-42	1.50105485232068	1.47779187817259	1.63056994818653	1.35483870967742	1.61861520998865	-0.00303725720484331
Kdelr1	ENSMUSG00000002778.14	ENSMUSG00000002778.14_1	7.29917945111363e-37	1.00947651808901e-33	1.89173060528559	1.99677938808374	1.96029143897996	1.9288256227758	1.96689497716895	-1.5160228634654
Jag2	ENSMUSG00000002799.6	ENSMUSG00000002799.6_1	3.64706606019023e-07	8.78942920505844e-05	1.52	1.5974025974026	1.67914438502674	1.49006622516556	1.68421052631579	-0.0573558294383458
Epdr1	ENSMUSG00000002808.7	ENSMUSG00000002808.7_1	2.14315959216964e-32	2.70038108613375e-29	1.94581861012956	1.90409764603313	1.98261257244761	1.99862258953168	1.95565410199557	-2.04823141975065
Nab1	ENSMUSG00000002881.14	ENSMUSG00000002881.14_1	3.71451159487247e-48	5.7612074836472e-45	1.91362126245847	1.63106796116505	1.85091743119266	1.66139240506329	1.92879256965944	-1.67681847730735
Kcnn1	ENSMUSG00000002908.17	ENSMUSG00000002908.17_1	1.47258871972207e-20	1.29293289591598e-17	1.84895833333333	1.7007874015748	1.7108843537415	1.47738693467337	1.45212765957447	-1.22533070450478
Ap2a2	ENSMUSG00000002957.11	ENSMUSG00000002957.11_1	1.50313301105127e-46	2.29678724088634e-43	2.76223091976517	2.48953547728433	2.49736147757256	2.63170163170163	2.58514851485149	-0.891200435623905
Rab8a	ENSMUSG00000003037.16	ENSMUSG00000003037.16_1	3.97618016318492e-30	4.75948765533235e-27	1.69269949066214	1.69338422391858	1.60653823701109	1.53731343283582	1.78363047001621	-0.584081196371527
Pafah1b2	ENSMUSG00000003131.7	ENSMUSG00000003131.7_1	5.82675599315123e-70	1.00279611688223e-66	2.39112903225806	2.28355326681686	2.31347517730496	1.97118533071382	2.3728354978355	0.364925184196461
Cnot11	ENSMUSG00000003135.15	ENSMUSG00000003135.15_1	4.78209113869893e-22	4.4999477615157e-19	1.33734939759036	1.58455882352941	1.21827411167513	1.29213483146067	1.27796610169492	0.480762926092682
Sri	ENSMUSG00000003161.15	ENSMUSG00000003161.15_1	0.0162794006469553	0.826249945849136	1.20893262679788	1.25327951564077	1.20231729055258	1.21976149914821	1.21428571428571	0.958462485098876
Dlgap1	ENSMUSG00000003279.16	ENSMUSG00000003279.16_2	8.93124143550587e-11	3.90295250731606e-08	1.92568250758342	1.91671486408329	1.94800950683304	1.94978301301922	1.96139288417865	-1.814875211234
Csnk1g2	ENSMUSG00000003345.16	ENSMUSG00000003345.16_1	1.25506538395478e-20	1.11073286479998e-17	1.97413024085638	1.98636859323882	1.94126023495906	1.91142490372272	1.95416896742131	-2.59359354503169
Dgcr14	ENSMUSG00000003527.9	ENSMUSG00000003527.9_1	1.8324139140331e-22	1.75728494355775e-19	1.22222222222222	1.32874354561102	1.21940298507463	1.46739130434783	1.49848024316109	0.893889691860421
Ciao1	ENSMUSG00000003662.10	ENSMUSG00000003662.10_1	5.55907014378789e-34	7.27682281821834e-31	1.34775888717156	1.44142857142857	1.3852140077821	1.41389728096677	1.21579689703808	1.88892637700045
Insig2	ENSMUSG00000003721.14	ENSMUSG00000003721.14_1	2.19310823260998e-28	2.53304000866452e-25	1.96955280685062	1.91838606143971	1.96373658253554	1.92931937172775	1.88590604026846	-2.4749796587502
Brd8	ENSMUSG00000003778.14	ENSMUSG00000003778.14_2	4.09259487266323e-16	2.79524229802899e-13	1.25149700598802	1.17833698030635	1.20966420966421	1.01310043668122	1.12095032397408	0.782952082452735
Nfat5	ENSMUSG00000003847.16	ENSMUSG00000003847.16_2	4.30738492421055e-14	2.51120541081475e-11	1.61881188118812	1.79617834394904	1.93886462882096	1.79310344827586	1.81019830028329	-0.345938852318834
Tfam	ENSMUSG00000003923.14	ENSMUSG00000003923.14_1	6.8571338518584e-14	3.92228056326301e-11	1.02777777777778	1.05933429811867	1.03480113636364	1.09349593495935	1.12235294117647	2.53047660561593
Mmd	ENSMUSG00000003948.17	ENSMUSG00000003948.17_2	6.73730500109241e-14	3.86721307062705e-11	1.97281831187411	1.9361216730038	1.95108184383819	1.9635761589404	1.88218390804598	-2.54479144656235
Hlf	ENSMUSG00000003949.16	ENSMUSG00000003949.16_2	2.67856931241665e-47	4.12231817180922e-44	2.66190476190476	2.52763819095477	2.52631578947368	2.25207756232687	2.69169960474308	-1.08765563268189
Hmox2	ENSMUSG00000004070.15	ENSMUSG00000004070.15_1	0.0586529172613681	1	1.09210526315789	1.07207596029348	1.08765032377428	1.09674502712477	1.08008008008008	1.64657259712917
Cdip1	ENSMUSG00000004071.13	ENSMUSG00000004071.13_1	3.36581994494877e-49	5.28433731356957e-46	2.22001888574127	2.18017057569296	2.27317571015479	2.20134228187919	2.36676127404604	-0.812080800486409
Etv1	ENSMUSG00000004151.17	ENSMUSG00000004151.17_1	8.37525412871751e-21	7.47828887491342e-18	1.41361916771753	1.29211618257261	1.4326675257732	1.52336448598131	1.43211334120425	0.25112118545952
RP23-331E5.6	ENSMUSG00000004360.9	ENSMUSG00000004360.9_1	3.35320029360616e-28	3.84947393705987e-25	1.4006968641115	1.35766423357664	1.53546910755149	1.225	1.13127413127413	0.288323616254576
Cul3	ENSMUSG00000004364.14	ENSMUSG00000004364.14_1	4.41111159824176e-28	5.04631166838857e-25	1.19221967963387	1.30709677419355	1.36431784107946	1.48195329087049	1.34610472541507	1.03234348426361
Ralb	ENSMUSG00000004451.14	ENSMUSG00000004451.14_2	1.88930394646843e-34	2.49010260144539e-31	1.69666666666667	1.92471042471042	1.75806451612903	1.99378881987578	1.63665594855305	-0.595341780804555
Ppp1cc	ENSMUSG00000004455.16	ENSMUSG00000004455.16_1	0.00627094451079084	0.401340448690614	1.88286883648412	1.88132168925965	1.8826431454627	1.8981684981685	1.8768056128766	-1.45599704937684
Cd33	ENSMUSG00000004609.11	ENSMUSG00000004609.11_1	6.34625379515144e-16	4.28372131172722e-13	2	1.66666666666667	1.24107142857143	2	1.53508771929825	-2.62396375672179
Pcp2	ENSMUSG00000004630.18	ENSMUSG00000004630.18_1	0.0018274396769629	0.153127245144186	1.45454545454545	1.84615384615385	1.37190082644628	1.8	1.35820895522388	0.128169876629893
Rab23	ENSMUSG00000004768.14	ENSMUSG00000004768.14_1	5.66873705249431e-18	4.3819337415781e-15	1.51079136690647	1.59487179487179	1.37926136363636	1.74226804123711	1.39268292682927	-0.0307002723320718
Ulk2	ENSMUSG00000004798.14	ENSMUSG00000004798.14_1	1.27773133677736e-13	7.06585429237880e-11	1.37303370786517	1.46201232032854	1.48821796759941	1.38075313807531	1.32858837485172	0.372789362235457
Chmp2b	ENSMUSG00000004843.7	ENSMUSG00000004843.7_1	0.0560199118274535	1	1.91648973814579	1.93593000282247	1.92168531302071	1.93235739525492	1.92948328267477	-1.72251611978834
Srpk1	ENSMUSG00000004865.15	ENSMUSG00000004865.15_2	1.16556702456237e-21	1.08164619879388e-18	1.70786516853933	1.71922246220302	1.77721518987342	1.43881856540084	1.64851485148515	-0.634374028514094
Rrnad1	ENSMUSG00000004896.16	ENSMUSG00000004896.16_1	9.44775602550667e-19	7.57710033245635e-16	1.80864197530864	1.4765625	1.39350912778905	1.55769230769231	1.42231075697211	-1.02219705967923
Chd5	ENSMUSG00000005045.16	ENSMUSG00000005045.16_2	7.97088533968365e-145	1.45707784009417e-141	2.66772151898734	2.82637954239569	2.91336633663366	2.37261146496815	2.62790697674419	0.0866021276598547
Slc1a2	ENSMUSG00000005089.15	ENSMUSG00000005089.15_2	1.59327807053673e-10	6.72363345766499e-08	1.9860424222442	1.99114509961763	1.98977040236417	1.999203187251	1.99546690843155	-3.06568734792025
Wdr1	ENSMUSG00000005103.12	ENSMUSG00000005103.12_1	1.39809726258785e-09	5.17295987157506e-07	1.94017094017094	1.91739130434783	1.94167679222357	2	1.90408673894912	-1.96799175356442
Prdx2	ENSMUSG00000005161.15	ENSMUSG00000005161.15_1	9.64782373770918e-50	1.5195322386892e-46	1.04955947136564	1.05526731333183	1.06314037185529	1.09837751371115	1.06337974587233	2.12941688470671
Letm1	ENSMUSG00000005299.6	ENSMUSG00000005299.6_2	2.57397231380511e-25	2.76187229271288e-22	1.25451559934319	1.16218487394958	1.16203301476977	1.08623548922056	1.07104413347686	0.772160258111905
Cadm3	ENSMUSG00000005338.13	ENSMUSG00000005338.13_1	1.31104169419837e-12	6.63387097264376e-10	1.07506053268765	1.08412582297001	1.06353135313531	1.09683794466403	1.19170984455959	1.79060029096248
Mprip	ENSMUSG00000005417.17	ENSMUSG00000005417.17_2	3.97655198815536e-06	0.000723732461844276	1.09058740268931	1.08964388047483	1.11192052980132	1.11075181891673	1.07154605263158	1.65872383595235
Insr	ENSMUSG00000005534.10	ENSMUSG00000005534.10_1	5.18142669974968e-11	2.30055345468886e-08	1.46951219512195	1.32365145228216	1.56751467710372	1.2280701754386	1.45084745762712	0.0870146998875248
Mef2c	ENSMUSG00000005583.16	ENSMUSG00000005583.16_1	3.5370359851926e-16	2.42640668584212e-13	1.8231148696265	1.87189781021898	1.84424695977549	1.9212962962963	1.78655767484105	-1.10688964551587
Eif4g2	ENSMUSG00000005610.17	ENSMUSG00000005610.17_2	5.40325786703857e-109	9.74207393427054e-106	1.37897196261682	1.31860989521157	1.2231693989071	1.26499638641291	1.25248718721737	0.356110388654848
Tomm40l	ENSMUSG00000005674.9	ENSMUSG00000005674.9_1	1.15548082356461e-07	3.07357899068186e-05	1.07581699346405	1.14101184068891	1.14992191566892	1.08219178082192	1.14417989417989	1.79248125036058
Apc	ENSMUSG00000005871.14	ENSMUSG00000005871.14_2	1.44033267754454e-26	1.59588860671935e-23	1.45742275810098	1.36011375755421	1.40782355389097	1.47945205479452	1.29790940766551	0.122963967898618
Kctd20	ENSMUSG00000005936.18	ENSMUSG00000005936.18_1	3.87699110259021e-29	4.54383357223572e-26	1.78736842105263	1.84317343173432	1.72117647058824	1.53924050632911	1.85393258426966	-0.939160721705873
Inpp5k	ENSMUSG00000006127.9	ENSMUSG00000006127.9_1	3.55126490417066e-22	3.36304786424962e-19	1.96186440677966	1.93207547169811	1.73770491803279	1.94897959183673	1.77525252525253	-2.25548095963869
Rps9	ENSMUSG00000006333.14	ENSMUSG00000006333.14_1	3.94704971685029e-09	1.3498910031628e-06	1.73893852944343	1.75842789014965	1.74383948928409	1.73923215994895	1.73116231828858	-0.750468284908042
Tmem110	ENSMUSG00000006526.13	ENSMUSG00000006526.13_1	1.75803473907783e-40	2.53508609375023e-37	1.58649789029536	1.49487179487179	1.35561497326203	1.65492957746479	1.1374269005848	-0.249963198432677
Sfmbt1	ENSMUSG00000006527.16	ENSMUSG00000006527.16_1	1.20961122816758e-09	4.48765765650172e-07	1.70642201834862	1.46945337620579	1.52959501557632	1.72781065088757	1.44827586206897	-0.620504049751898
Hfe	ENSMUSG00000006611.15	ENSMUSG00000006611.15_1	0.0103500672307824	0.629414098608245	1.256	1.25438596491228	1.15873015873016	1	1.22610722610723	0.755097366159592
Cdc42	ENSMUSG00000006699.17	ENSMUSG00000006699.17_1	1.62672573561124e-94	2.91509251821534e-91	1.49730402322688	1.65274225632282	1.52813299232737	1.55961722488038	1.49105117217041	0.00777579483420827
Cnp	ENSMUSG00000006782.16	ENSMUSG00000006782.16_1	7.22235743259931e-47	1.10790963016073e-43	1.79312977099237	1.85865561694291	1.7353206865402	1.96526054590571	1.86261980830671	-0.967452485889058
Atp1a2	ENSMUSG00000007097.14	ENSMUSG00000007097.14_2	5.02186076562023e-25	5.31815055079182e-22	2.06479174083304	2.05207100591716	2.0369206598586	1.96146435452794	2.02100673801031	-1.56124150374645
Mrpl49	ENSMUSG00000007338.9	ENSMUSG00000007338.9_1	9.43941752789885e-10	3.57753924307367e-07	2.01406799531067	2.16870064608758	2.14686623012161	2.0732044198895	2.19221411192214	0.764213622639706
Gatad1	ENSMUSG00000007415.15	ENSMUSG00000007415.15_2	0.120976037815763	1	1.24120603015075	1.24034334763948	1.2701062215478	1.26072041166381	1.2376	0.824676543995555
Arpp19	ENSMUSG00000007656.13	ENSMUSG00000007656.13_1	4.15233237024101e-89	7.40360861613973e-86	1.5244161358811	1.52007136485281	1.55871511321748	1.650390625	1.6943231441048	1.14426033710319
Khsrp	ENSMUSG00000007670.9	ENSMUSG00000007670.9_1	1.55210189423751e-21	1.42638164080427e-18	1.64912280701754	1.86131386861314	1.94535519125683	1.94736842105263	1.55924170616114	-0.435633342938899
Hmgcll1	ENSMUSG00000007908.14	ENSMUSG00000007908.14_1	4.75317720783895e-14	2.75208960333875e-11	1.85987261146497	1.68840579710145	1.88013136288998	1.872	1.75862068965517	-1.28195044259666
Fnbp4	ENSMUSG00000008200.14	ENSMUSG00000008200.14_1	2.01317468938512e-16	1.41324863194836e-13	1.6037037037037	1.35265700483092	1.53652392947103	1.1063829787234	1.48167539267016	-0.301332251227309
Cers4	ENSMUSG00000008206.16	ENSMUSG00000008206.16_1	8.20859563303066e-16	5.48334188286448e-13	1.27450980392157	1.83018867924528	1.46274509803922	1.43965517241379	1.31666666666667	0.685418847684154
Prpf31	ENSMUSG00000008373.16	ENSMUSG00000008373.16_1	2.14064329693549e-14	1.28652662145823e-11	1.25380710659898	1.13756613756614	1.24657534246575	1.04878048780488	1.27050997782705	0.773179830748703
Carhsp1	ENSMUSG00000008393.9	ENSMUSG00000008393.9_1	3.29226329835716e-75	5.75158398222996e-72	1.7258883248731	1.81267217630854	1.26916221033868	1.50649350649351	1.34645669291339	-0.694282643958827
Elk3	ENSMUSG00000008398.15	ENSMUSG00000008398.15_2	0.0440318645604878	1	1.61165048543689	1.49090909090909	1.53333333333333	1.77272727272727	1.56916996047431	-0.321223997690958
Arpc5	ENSMUSG00000008475.13	ENSMUSG00000008475.13_1	3.46958755060825e-31	4.26759268724815e-28	1.91492776886035	1.98251928020566	1.97691373025516	1.96465517241379	1.97624499141385	-1.70730804494377
Rps15a	ENSMUSG00000008683.16	ENSMUSG00000008683.16_1	2.42720842314063e-93	4.34470307742173e-90	1.01659959758551	1.06260335459485	1.03572101199071	1.03312745648512	1.00972348830143	2.93892746637776
Ncaph2	ENSMUSG00000008690.15	ENSMUSG00000008690.15_1	7.08743991647301e-30	8.44114094051936e-27	1.22396576319544	1.364	1.23326867119302	1.18847352024922	1.16733466933868	0.893165835743593
Man1a2	ENSMUSG00000008763.16	ENSMUSG00000008763.16_1	4.69887585500629e-06	0.000831701026336113	1.8962962962963	1.8	1.88347457627119	1.81216931216931	1.82212581344902	-1.5407649427483
Rala	ENSMUSG00000008859.8	ENSMUSG00000008859.8_1	1.27778913702583e-74	2.22974204411008e-71	2.52714932126697	2.27906976744186	2.21495956873315	2.60119047619048	2.04825090470446	0.0570227923786789
Gabpa	ENSMUSG00000008976.16	ENSMUSG00000008976.16_1	1.08981319549682e-13	6.08873795955303e-11	1.66101694915254	1.72448979591837	1.86547085201794	1.5	1.7063339731286	-0.477385373003502
Bmp7	ENSMUSG00000008999.7	ENSMUSG00000008999.7_1	8.1871457719795e-37	1.13054612423911e-33	1.5047619047619	1.96428571428571	1.71532846715328	1.20879120879121	1.52775368603643	-0.0136107343675118
Bcl2l13	ENSMUSG00000009112.4	ENSMUSG00000009112.4_1	4.77101257743698e-25	5.06204434466063e-22	1.23383084577114	1.27118644067797	1.53020134228188	1.39310344827586	1.32592592592593	0.850803709786713
Lnpk	ENSMUSG00000009207.15	ENSMUSG00000009207.15_1	2.87164476288623e-25	3.07553154105115e-22	1.88139059304703	1.6525974025974	1.75244467318579	1.70038167938931	1.58630136986301	-1.43612222640081
Fam163b	ENSMUSG00000009216.7	ENSMUSG00000009216.7_1	2.68284139548891e-14	1.60433915450237e-11	1.91131498470948	1.91185647425897	1.93210749646393	1.82692307692308	1.90632318501171	-1.67500680405591
Nav1	ENSMUSG00000009418.15	ENSMUSG00000009418.15_1	3.29914913465731e-05	0.00468479177121338	1.64359861591696	1.59006211180124	1.70095440084836	1.60869565217391	1.76223776223776	-0.423227370873271
Rnmt	ENSMUSG00000009535.13	ENSMUSG00000009535.13_1	4.30713844813971e-23	4.2511456483139e-20	1.60104529616725	1.5059203444564	1.55595667870036	1.67906976744186	1.40656851642129	-0.294569088346175
Cbx5	ENSMUSG00000009575.14	ENSMUSG00000009575.14_1	6.63658086715126e-74	1.15675604514447e-70	1.50364077669903	1.58399423215573	1.44325938566553	1.47311827956989	1.79495614035088	-0.0104798093178233
Sardh	ENSMUSG00000009614.16	ENSMUSG00000009614.16_1	3.37403627468184e-34	4.43010962865726e-31	1.8961038961039	1.33333333333333	1.80102040816327	1	1.47252747252747	-1.51573911573658
Tfcp2	ENSMUSG00000009733.9	ENSMUSG00000009733.9_2	2.01225744908597e-13	1.08460676505734e-10	1.2972972972973	1.4620253164557	1.70445344129555	1.40579710144928	1.75	0.584962500721156
Ick	ENSMUSG00000009828.15	ENSMUSG00000009828.15_3	6.03065336965835e-05	0.00796046244794902	1.47368421052632	1.54545454545455	1.39948453608247	1.55882352941176	1.57191780821918	0.0752084212765487
Kdsr	ENSMUSG00000009905.5	ENSMUSG00000009905.5_1	7.44759541793315e-40	1.06575090430623e-36	1.81679389312977	1.70670391061453	1.50196078431373	1.39664804469274	1.78214285714286	0.764685050825045
Nxf1	ENSMUSG00000010097.14	ENSMUSG00000010097.14_1	0.0166424800506629	0.826249945849136	1.95267649340574	1.95029658416854	1.95506222153941	1.95023610606611	1.94421140939597	-2.16287529237422
Mettl16	ENSMUSG00000010554.14	ENSMUSG00000010554.14_1	4.63651388777934e-12	2.23479969390964e-09	1.5765306122449	1.80113636363636	1.80551724137931	1.60576923076923	1.7003367003367	-0.220286295692991
Rbm25	ENSMUSG00000010608.15	ENSMUSG00000010608.15_1	7.70898195979015e-43	1.14324202463688e-39	1.60091743119266	1.62632696390658	1.79472843450479	1.68929503916449	1.88072122052705	-0.293853938729987
Lmbr1	ENSMUSG00000010721.15	ENSMUSG00000010721.15_1	1.0143717968211e-23	1.02350114299249e-20	1.23239436619718	1.57142857142857	1.38432835820896	1.31111111111111	1.59189189189189	0.84694843613716
Pdhx	ENSMUSG00000010914.10	ENSMUSG00000010914.10_2	1.8754271528091e-14	1.13463342744951e-11	1.79652996845426	1.80978865406007	1.83578431372549	1.87708333333333	1.7	-0.980312880832928
Sugp1	ENSMUSG00000011306.7	ENSMUSG00000011306.7_1	8.18643102273069e-37	1.13054612423911e-33	1.30882352941176	1.07061503416856	1.08	1.18151815181518	1.00411522633745	0.577361297399321
Evi5	ENSMUSG00000011831.16	ENSMUSG00000011831.16_1	5.10510423947261e-29	5.97297196018296e-26	1.73	1.72558139534884	1.89861751152074	1.75196232339089	1.89929078014184	-0.714118498516852
